"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"012001";"Agra";0;3;0;3
"012001";"Agra";1;2;1;3
"012001";"Agra";2;0;2;2
"012001";"Agra";3;0;3;3
"012001";"Agra";4;0;0;0
"012001";"Agra";5;1;2;3
"012001";"Agra";6;1;3;4
"012001";"Agra";7;0;2;2
"012001";"Agra";8;0;3;3
"012001";"Agra";9;4;1;5
"012001";"Agra";10;3;3;6
"012001";"Agra";11;8;2;10
"012001";"Agra";12;2;3;5
"012001";"Agra";13;1;4;5
"012001";"Agra";14;2;1;3
"012001";"Agra";15;2;1;3
"012001";"Agra";16;1;1;2
"012001";"Agra";17;2;2;4
"012001";"Agra";18;3;1;4
"012001";"Agra";19;4;0;4
"012001";"Agra";20;2;0;2
"012001";"Agra";21;1;1;2
"012001";"Agra";22;1;1;2
"012001";"Agra";23;1;3;4
"012001";"Agra";24;1;2;3
"012001";"Agra";25;1;1;2
"012001";"Agra";26;2;0;2
"012001";"Agra";27;0;3;3
"012001";"Agra";28;0;0;0
"012001";"Agra";29;3;2;5
"012001";"Agra";30;2;1;3
"012001";"Agra";31;1;0;1
"012001";"Agra";32;0;0;0
"012001";"Agra";33;0;0;0
"012001";"Agra";34;0;3;3
"012001";"Agra";35;2;4;6
"012001";"Agra";36;3;1;4
"012001";"Agra";37;5;2;7
"012001";"Agra";38;0;1;1
"012001";"Agra";39;2;0;2
"012001";"Agra";40;1;4;5
"012001";"Agra";41;3;3;6
"012001";"Agra";42;3;5;8
"012001";"Agra";43;6;3;9
"012001";"Agra";44;4;3;7
"012001";"Agra";45;3;2;5
"012001";"Agra";46;3;2;5
"012001";"Agra";47;4;2;6
"012001";"Agra";48;4;3;7
"012001";"Agra";49;2;3;5
"012001";"Agra";50;5;0;5
"012001";"Agra";51;3;1;4
"012001";"Agra";52;1;1;2
"012001";"Agra";53;4;4;8
"012001";"Agra";54;1;5;6
"012001";"Agra";55;3;2;5
"012001";"Agra";56;3;4;7
"012001";"Agra";57;4;2;6
"012001";"Agra";58;4;3;7
"012001";"Agra";59;3;2;5
"012001";"Agra";60;1;3;4
"012001";"Agra";61;3;3;6
"012001";"Agra";62;3;5;8
"012001";"Agra";63;5;5;10
"012001";"Agra";64;2;3;5
"012001";"Agra";65;4;3;7
"012001";"Agra";66;3;3;6
"012001";"Agra";67;4;2;6
"012001";"Agra";68;2;2;4
"012001";"Agra";69;1;3;4
"012001";"Agra";70;2;0;2
"012001";"Agra";71;2;2;4
"012001";"Agra";72;1;1;2
"012001";"Agra";73;1;2;3
"012001";"Agra";74;2;3;5
"012001";"Agra";75;2;4;6
"012001";"Agra";76;1;1;2
"012001";"Agra";77;1;3;4
"012001";"Agra";78;3;3;6
"012001";"Agra";79;2;5;7
"012001";"Agra";80;0;1;1
"012001";"Agra";81;1;1;2
"012001";"Agra";82;0;3;3
"012001";"Agra";83;2;6;8
"012001";"Agra";84;3;1;4
"012001";"Agra";85;3;1;4
"012001";"Agra";86;1;2;3
"012001";"Agra";87;1;0;1
"012001";"Agra";88;1;0;1
"012001";"Agra";89;0;2;2
"012001";"Agra";90;0;2;2
"012001";"Agra";91;0;1;1
"012001";"Agra";92;0;0;0
"012001";"Agra";93;1;0;1
"012001";"Agra";94;0;1;1
"012001";"Agra";95;0;0;0
"012001";"Agra";96;0;0;0
"012001";"Agra";97;0;0;0
"012001";"Agra";98;0;0;0
"012001";"Agra";99;0;0;0
"012001";"Agra";100;1;0;1
"012001";"Agra";999;189;191;380
"012002";"Albizzate";0;16;16;32
"012002";"Albizzate";1;23;15;38
"012002";"Albizzate";2;16;17;33
"012002";"Albizzate";3;19;18;37
"012002";"Albizzate";4;25;20;45
"012002";"Albizzate";5;22;15;37
"012002";"Albizzate";6;29;22;51
"012002";"Albizzate";7;21;20;41
"012002";"Albizzate";8;25;31;56
"012002";"Albizzate";9;20;27;47
"012002";"Albizzate";10;24;17;41
"012002";"Albizzate";11;29;17;46
"012002";"Albizzate";12;27;22;49
"012002";"Albizzate";13;21;28;49
"012002";"Albizzate";14;27;23;50
"012002";"Albizzate";15;25;20;45
"012002";"Albizzate";16;32;22;54
"012002";"Albizzate";17;32;14;46
"012002";"Albizzate";18;30;21;51
"012002";"Albizzate";19;23;24;47
"012002";"Albizzate";20;23;29;52
"012002";"Albizzate";21;29;21;50
"012002";"Albizzate";22;16;30;46
"012002";"Albizzate";23;25;20;45
"012002";"Albizzate";24;19;27;46
"012002";"Albizzate";25;26;28;54
"012002";"Albizzate";26;32;27;59
"012002";"Albizzate";27;31;32;63
"012002";"Albizzate";28;21;24;45
"012002";"Albizzate";29;25;24;49
"012002";"Albizzate";30;35;23;58
"012002";"Albizzate";31;22;23;45
"012002";"Albizzate";32;28;28;56
"012002";"Albizzate";33;31;33;64
"012002";"Albizzate";34;24;26;50
"012002";"Albizzate";35;31;31;62
"012002";"Albizzate";36;24;30;54
"012002";"Albizzate";37;26;26;52
"012002";"Albizzate";38;40;32;72
"012002";"Albizzate";39;23;30;53
"012002";"Albizzate";40;35;32;67
"012002";"Albizzate";41;26;30;56
"012002";"Albizzate";42;31;43;74
"012002";"Albizzate";43;34;31;65
"012002";"Albizzate";44;31;33;64
"012002";"Albizzate";45;38;40;78
"012002";"Albizzate";46;30;33;63
"012002";"Albizzate";47;41;22;63
"012002";"Albizzate";48;31;47;78
"012002";"Albizzate";49;27;41;68
"012002";"Albizzate";50;47;37;84
"012002";"Albizzate";51;42;27;69
"012002";"Albizzate";52;41;44;85
"012002";"Albizzate";53;42;38;80
"012002";"Albizzate";54;49;41;90
"012002";"Albizzate";55;40;33;73
"012002";"Albizzate";56;38;37;75
"012002";"Albizzate";57;33;39;72
"012002";"Albizzate";58;36;45;81
"012002";"Albizzate";59;44;30;74
"012002";"Albizzate";60;45;37;82
"012002";"Albizzate";61;49;46;95
"012002";"Albizzate";62;37;39;76
"012002";"Albizzate";63;36;44;80
"012002";"Albizzate";64;28;38;66
"012002";"Albizzate";65;34;43;77
"012002";"Albizzate";66;37;33;70
"012002";"Albizzate";67;15;31;46
"012002";"Albizzate";68;36;34;70
"012002";"Albizzate";69;33;43;76
"012002";"Albizzate";70;27;34;61
"012002";"Albizzate";71;26;30;56
"012002";"Albizzate";72;27;31;58
"012002";"Albizzate";73;34;34;68
"012002";"Albizzate";74;29;30;59
"012002";"Albizzate";75;29;28;57
"012002";"Albizzate";76;25;30;55
"012002";"Albizzate";77;24;32;56
"012002";"Albizzate";78;19;28;47
"012002";"Albizzate";79;19;39;58
"012002";"Albizzate";80;20;22;42
"012002";"Albizzate";81;20;17;37
"012002";"Albizzate";82;16;16;32
"012002";"Albizzate";83;12;22;34
"012002";"Albizzate";84;17;25;42
"012002";"Albizzate";85;11;26;37
"012002";"Albizzate";86;20;28;48
"012002";"Albizzate";87;11;16;27
"012002";"Albizzate";88;17;20;37
"012002";"Albizzate";89;11;16;27
"012002";"Albizzate";90;12;12;24
"012002";"Albizzate";91;7;11;18
"012002";"Albizzate";92;4;8;12
"012002";"Albizzate";93;3;7;10
"012002";"Albizzate";94;2;5;7
"012002";"Albizzate";95;2;3;5
"012002";"Albizzate";96;4;0;4
"012002";"Albizzate";97;0;2;2
"012002";"Albizzate";98;1;2;3
"012002";"Albizzate";99;3;2;5
