"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"013003";"Albavilla";0;9;23;32
"013003";"Albavilla";1;12;10;22
"013003";"Albavilla";2;16;17;33
"013003";"Albavilla";3;13;12;25
"013003";"Albavilla";4;22;20;42
"013003";"Albavilla";5;21;19;40
"013003";"Albavilla";6;11;25;36
"013003";"Albavilla";7;24;26;50
"013003";"Albavilla";8;36;24;60
"013003";"Albavilla";9;32;26;58
"013003";"Albavilla";10;29;26;55
"013003";"Albavilla";11;32;21;53
"013003";"Albavilla";12;35;27;62
"013003";"Albavilla";13;34;36;70
"013003";"Albavilla";14;37;26;63
"013003";"Albavilla";15;30;27;57
"013003";"Albavilla";16;33;29;62
"013003";"Albavilla";17;41;29;70
"013003";"Albavilla";18;34;34;68
"013003";"Albavilla";19;37;29;66
"013003";"Albavilla";20;37;26;63
"013003";"Albavilla";21;26;29;55
"013003";"Albavilla";22;37;27;64
"013003";"Albavilla";23;32;32;64
"013003";"Albavilla";24;36;32;68
"013003";"Albavilla";25;35;32;67
"013003";"Albavilla";26;26;30;56
"013003";"Albavilla";27;28;31;59
"013003";"Albavilla";28;34;38;72
"013003";"Albavilla";29;41;27;68
"013003";"Albavilla";30;25;29;54
"013003";"Albavilla";31;27;31;58
"013003";"Albavilla";32;37;24;61
"013003";"Albavilla";33;30;34;64
"013003";"Albavilla";34;35;37;72
"013003";"Albavilla";35;38;26;64
"013003";"Albavilla";36;29;30;59
"013003";"Albavilla";37;38;33;71
"013003";"Albavilla";38;21;35;56
"013003";"Albavilla";39;27;36;63
"013003";"Albavilla";40;33;33;66
"013003";"Albavilla";41;28;36;64
"013003";"Albavilla";42;46;40;86
"013003";"Albavilla";43;43;40;83
"013003";"Albavilla";44;33;27;60
"013003";"Albavilla";45;27;47;74
"013003";"Albavilla";46;47;37;84
"013003";"Albavilla";47;35;42;77
"013003";"Albavilla";48;56;48;104
"013003";"Albavilla";49;52;56;108
"013003";"Albavilla";50;62;52;114
"013003";"Albavilla";51;59;57;116
"013003";"Albavilla";52;51;57;108
"013003";"Albavilla";53;56;52;108
"013003";"Albavilla";54;44;46;90
"013003";"Albavilla";55;49;56;105
"013003";"Albavilla";56;57;50;107
"013003";"Albavilla";57;51;59;110
"013003";"Albavilla";58;57;53;110
"013003";"Albavilla";59;51;62;113
"013003";"Albavilla";60;48;52;100
"013003";"Albavilla";61;59;51;110
"013003";"Albavilla";62;48;41;89
"013003";"Albavilla";63;42;38;80
"013003";"Albavilla";64;44;42;86
"013003";"Albavilla";65;37;48;85
"013003";"Albavilla";66;31;58;89
"013003";"Albavilla";67;40;53;93
"013003";"Albavilla";68;61;43;104
"013003";"Albavilla";69;31;39;70
"013003";"Albavilla";70;25;31;56
"013003";"Albavilla";71;27;50;77
"013003";"Albavilla";72;39;45;84
"013003";"Albavilla";73;35;43;78
"013003";"Albavilla";74;42;38;80
"013003";"Albavilla";75;45;44;89
"013003";"Albavilla";76;31;40;71
"013003";"Albavilla";77;36;39;75
"013003";"Albavilla";78;41;35;76
"013003";"Albavilla";79;41;42;83
"013003";"Albavilla";80;14;33;47
"013003";"Albavilla";81;21;25;46
"013003";"Albavilla";82;16;26;42
"013003";"Albavilla";83;22;25;47
"013003";"Albavilla";84;17;23;40
"013003";"Albavilla";85;17;19;36
"013003";"Albavilla";86;17;30;47
"013003";"Albavilla";87;12;18;30
"013003";"Albavilla";88;12;12;24
"013003";"Albavilla";89;12;16;28
"013003";"Albavilla";90;6;21;27
"013003";"Albavilla";91;10;15;25
"013003";"Albavilla";92;5;6;11
"013003";"Albavilla";93;8;6;14
"013003";"Albavilla";94;3;14;17
"013003";"Albavilla";95;3;6;9
"013003";"Albavilla";96;0;5;5
"013003";"Albavilla";97;0;2;2
"013003";"Albavilla";98;0;1;1
"013003";"Albavilla";99;0;3;3
"013003";"Albavilla";100;0;3;3
"013003";"Albavilla";999;3112;3236;6348
"013004";"Albese con Cassano";0;4;9;13
"013004";"Albese con Cassano";1;11;8;19
"013004";"Albese con Cassano";2;11;13;24
"013004";"Albese con Cassano";3;10;11;21
"013004";"Albese con Cassano";4;12;17;29
"013004";"Albese con Cassano";5;16;13;29
"013004";"Albese con Cassano";6;17;17;34
"013004";"Albese con Cassano";7;21;13;34
"013004";"Albese con Cassano";8;11;13;24
"013004";"Albese con Cassano";9;18;22;40
"013004";"Albese con Cassano";10;19;19;38
"013004";"Albese con Cassano";11;15;21;36
"013004";"Albese con Cassano";12;14;21;35
"013004";"Albese con Cassano";13;21;23;44
"013004";"Albese con Cassano";14;21;22;43
"013004";"Albese con Cassano";15;19;16;35
"013004";"Albese con Cassano";16;21;19;40
"013004";"Albese con Cassano";17;18;18;36
"013004";"Albese con Cassano";18;19;23;42
"013004";"Albese con Cassano";19;18;20;38
"013004";"Albese con Cassano";20;30;18;48
"013004";"Albese con Cassano";21;19;16;35
"013004";"Albese con Cassano";22;14;29;43
"013004";"Albese con Cassano";23;19;20;39
"013004";"Albese con Cassano";24;26;24;50
"013004";"Albese con Cassano";25;33;33;66
"013004";"Albese con Cassano";26;19;19;38
"013004";"Albese con Cassano";27;18;22;40
"013004";"Albese con Cassano";28;23;17;40
"013004";"Albese con Cassano";29;21;15;36
"013004";"Albese con Cassano";30;19;20;39
"013004";"Albese con Cassano";31;30;22;52
"013004";"Albese con Cassano";32;17;14;31
"013004";"Albese con Cassano";33;23;20;43
"013004";"Albese con Cassano";34;22;17;39
"013004";"Albese con Cassano";35;16;18;34
"013004";"Albese con Cassano";36;15;16;31
"013004";"Albese con Cassano";37;23;17;40
"013004";"Albese con Cassano";38;13;28;41
"013004";"Albese con Cassano";39;27;32;59
"013004";"Albese con Cassano";40;25;30;55
"013004";"Albese con Cassano";41;21;25;46
"013004";"Albese con Cassano";42;25;26;51
"013004";"Albese con Cassano";43;30;29;59
"013004";"Albese con Cassano";44;22;27;49
"013004";"Albese con Cassano";45;30;20;50
"013004";"Albese con Cassano";46;24;28;52
"013004";"Albese con Cassano";47;33;29;62
"013004";"Albese con Cassano";48;33;33;66
"013004";"Albese con Cassano";49;34;29;63
"013004";"Albese con Cassano";50;34;45;79
"013004";"Albese con Cassano";51;47;29;76
"013004";"Albese con Cassano";52;24;33;57
"013004";"Albese con Cassano";53;55;46;101
"013004";"Albese con Cassano";54;48;34;82
"013004";"Albese con Cassano";55;35;41;76
"013004";"Albese con Cassano";56;37;45;82
"013004";"Albese con Cassano";57;28;21;49
"013004";"Albese con Cassano";58;30;29;59
"013004";"Albese con Cassano";59;36;39;75
"013004";"Albese con Cassano";60;33;41;74
"013004";"Albese con Cassano";61;33;23;56
"013004";"Albese con Cassano";62;24;23;47
"013004";"Albese con Cassano";63;25;30;55
"013004";"Albese con Cassano";64;24;22;46
"013004";"Albese con Cassano";65;27;27;54
"013004";"Albese con Cassano";66;32;30;62
"013004";"Albese con Cassano";67;21;29;50
"013004";"Albese con Cassano";68;23;27;50
"013004";"Albese con Cassano";69;26;26;52
"013004";"Albese con Cassano";70;18;21;39
"013004";"Albese con Cassano";71;22;27;49
"013004";"Albese con Cassano";72;22;28;50
"013004";"Albese con Cassano";73;21;25;46
"013004";"Albese con Cassano";74;24;27;51
"013004";"Albese con Cassano";75;30;35;65
"013004";"Albese con Cassano";76;34;26;60
"013004";"Albese con Cassano";77;32;23;55
"013004";"Albese con Cassano";78;31;26;57
"013004";"Albese con Cassano";79;26;36;62
"013004";"Albese con Cassano";80;19;15;34
"013004";"Albese con Cassano";81;16;16;32
"013004";"Albese con Cassano";82;11;31;42
"013004";"Albese con Cassano";83;24;15;39
"013004";"Albese con Cassano";84;21;18;39
"013004";"Albese con Cassano";85;8;9;17
"013004";"Albese con Cassano";86;9;22;31
"013004";"Albese con Cassano";87;9;16;25
"013004";"Albese con Cassano";88;8;14;22
"013004";"Albese con Cassano";89;3;16;19
"013004";"Albese con Cassano";90;4;18;22
"013004";"Albese con Cassano";91;5;15;20
"013004";"Albese con Cassano";92;9;15;24
