"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"014001";"Albaredo per San Marco";0;0;0;0
"014001";"Albaredo per San Marco";1;0;2;2
"014001";"Albaredo per San Marco";2;1;1;2
"014001";"Albaredo per San Marco";3;1;1;2
"014001";"Albaredo per San Marco";4;1;3;4
"014001";"Albaredo per San Marco";5;0;0;0
"014001";"Albaredo per San Marco";6;1;0;1
"014001";"Albaredo per San Marco";7;0;1;1
"014001";"Albaredo per San Marco";8;0;0;0
"014001";"Albaredo per San Marco";9;0;0;0
"014001";"Albaredo per San Marco";10;0;0;0
"014001";"Albaredo per San Marco";11;0;0;0
"014001";"Albaredo per San Marco";12;0;0;0
"014001";"Albaredo per San Marco";13;1;2;3
"014001";"Albaredo per San Marco";14;1;0;1
"014001";"Albaredo per San Marco";15;0;1;1
"014001";"Albaredo per San Marco";16;2;2;4
"014001";"Albaredo per San Marco";17;1;0;1
"014001";"Albaredo per San Marco";18;0;0;0
"014001";"Albaredo per San Marco";19;1;2;3
"014001";"Albaredo per San Marco";20;0;0;0
"014001";"Albaredo per San Marco";21;1;1;2
"014001";"Albaredo per San Marco";22;1;3;4
"014001";"Albaredo per San Marco";23;2;1;3
"014001";"Albaredo per San Marco";24;0;2;2
"014001";"Albaredo per San Marco";25;2;1;3
"014001";"Albaredo per San Marco";26;0;1;1
"014001";"Albaredo per San Marco";27;1;0;1
"014001";"Albaredo per San Marco";28;0;1;1
"014001";"Albaredo per San Marco";29;1;1;2
"014001";"Albaredo per San Marco";30;2;3;5
"014001";"Albaredo per San Marco";31;0;0;0
"014001";"Albaredo per San Marco";32;2;1;3
"014001";"Albaredo per San Marco";33;4;1;5
"014001";"Albaredo per San Marco";34;1;0;1
"014001";"Albaredo per San Marco";35;5;1;6
"014001";"Albaredo per San Marco";36;1;0;1
"014001";"Albaredo per San Marco";37;0;1;1
"014001";"Albaredo per San Marco";38;1;1;2
"014001";"Albaredo per San Marco";39;1;1;2
"014001";"Albaredo per San Marco";40;1;1;2
"014001";"Albaredo per San Marco";41;2;1;3
"014001";"Albaredo per San Marco";42;0;2;2
"014001";"Albaredo per San Marco";43;1;2;3
"014001";"Albaredo per San Marco";44;2;1;3
"014001";"Albaredo per San Marco";45;2;1;3
"014001";"Albaredo per San Marco";46;1;1;2
"014001";"Albaredo per San Marco";47;3;3;6
"014001";"Albaredo per San Marco";48;1;3;4
"014001";"Albaredo per San Marco";49;2;2;4
"014001";"Albaredo per San Marco";50;4;1;5
"014001";"Albaredo per San Marco";51;1;2;3
"014001";"Albaredo per San Marco";52;2;2;4
"014001";"Albaredo per San Marco";53;2;1;3
"014001";"Albaredo per San Marco";54;3;2;5
"014001";"Albaredo per San Marco";55;1;2;3
"014001";"Albaredo per San Marco";56;1;2;3
"014001";"Albaredo per San Marco";57;2;4;6
"014001";"Albaredo per San Marco";58;2;1;3
"014001";"Albaredo per San Marco";59;4;2;6
"014001";"Albaredo per San Marco";60;5;6;11
"014001";"Albaredo per San Marco";61;4;4;8
"014001";"Albaredo per San Marco";62;0;4;4
"014001";"Albaredo per San Marco";63;5;1;6
"014001";"Albaredo per San Marco";64;5;3;8
"014001";"Albaredo per San Marco";65;1;1;2
"014001";"Albaredo per San Marco";66;3;3;6
"014001";"Albaredo per San Marco";67;3;0;3
"014001";"Albaredo per San Marco";68;4;3;7
"014001";"Albaredo per San Marco";69;1;2;3
"014001";"Albaredo per San Marco";70;1;1;2
"014001";"Albaredo per San Marco";71;7;3;10
"014001";"Albaredo per San Marco";72;2;0;2
"014001";"Albaredo per San Marco";73;2;5;7
"014001";"Albaredo per San Marco";74;3;3;6
"014001";"Albaredo per San Marco";75;5;3;8
"014001";"Albaredo per San Marco";76;1;0;1
"014001";"Albaredo per San Marco";77;3;1;4
"014001";"Albaredo per San Marco";78;3;1;4
"014001";"Albaredo per San Marco";79;2;0;2
"014001";"Albaredo per San Marco";80;0;2;2
"014001";"Albaredo per San Marco";81;2;0;2
"014001";"Albaredo per San Marco";82;0;1;1
"014001";"Albaredo per San Marco";83;1;1;2
"014001";"Albaredo per San Marco";84;1;1;2
"014001";"Albaredo per San Marco";85;3;1;4
"014001";"Albaredo per San Marco";86;2;2;4
"014001";"Albaredo per San Marco";87;0;1;1
"014001";"Albaredo per San Marco";88;0;1;1
"014001";"Albaredo per San Marco";89;0;2;2
"014001";"Albaredo per San Marco";90;2;1;3
"014001";"Albaredo per San Marco";91;1;2;3
"014001";"Albaredo per San Marco";92;0;0;0
"014001";"Albaredo per San Marco";93;0;1;1
"014001";"Albaredo per San Marco";94;0;0;0
"014001";"Albaredo per San Marco";95;1;1;2
"014001";"Albaredo per San Marco";96;0;0;0
"014001";"Albaredo per San Marco";97;0;0;0
"014001";"Albaredo per San Marco";98;0;0;0
"014001";"Albaredo per San Marco";99;0;1;1
"014001";"Albaredo per San Marco";100;0;0;0
"014001";"Albaredo per San Marco";999;145;133;278
"014002";"Albosaggia";0;7;12;19
"014002";"Albosaggia";1;9;4;13
"014002";"Albosaggia";2;6;8;14
"014002";"Albosaggia";3;8;9;17
"014002";"Albosaggia";4;6;5;11
"014002";"Albosaggia";5;9;10;19
"014002";"Albosaggia";6;11;12;23
"014002";"Albosaggia";7;17;12;29
"014002";"Albosaggia";8;9;7;16
"014002";"Albosaggia";9;9;10;19
"014002";"Albosaggia";10;8;15;23
"014002";"Albosaggia";11;11;11;22
"014002";"Albosaggia";12;12;8;20
"014002";"Albosaggia";13;14;13;27
"014002";"Albosaggia";14;11;15;26
"014002";"Albosaggia";15;15;6;21
"014002";"Albosaggia";16;9;13;22
"014002";"Albosaggia";17;16;14;30
"014002";"Albosaggia";18;9;15;24
"014002";"Albosaggia";19;17;13;30
"014002";"Albosaggia";20;15;18;33
"014002";"Albosaggia";21;9;15;24
"014002";"Albosaggia";22;10;14;24
"014002";"Albosaggia";23;16;13;29
"014002";"Albosaggia";24;16;11;27
"014002";"Albosaggia";25;12;10;22
"014002";"Albosaggia";26;12;14;26
"014002";"Albosaggia";27;13;15;28
"014002";"Albosaggia";28;8;18;26
"014002";"Albosaggia";29;15;9;24
"014002";"Albosaggia";30;19;12;31
"014002";"Albosaggia";31;15;12;27
"014002";"Albosaggia";32;12;12;24
"014002";"Albosaggia";33;12;15;27
"014002";"Albosaggia";34;15;12;27
"014002";"Albosaggia";35;16;15;31
"014002";"Albosaggia";36;11;17;28
"014002";"Albosaggia";37;20;12;32
"014002";"Albosaggia";38;13;13;26
"014002";"Albosaggia";39;12;13;25
"014002";"Albosaggia";40;21;15;36
"014002";"Albosaggia";41;16;16;32
"014002";"Albosaggia";42;14;14;28
"014002";"Albosaggia";43;14;27;41
"014002";"Albosaggia";44;18;7;25
"014002";"Albosaggia";45;19;18;37
"014002";"Albosaggia";46;21;18;39
"014002";"Albosaggia";47;15;16;31
"014002";"Albosaggia";48;14;19;33
"014002";"Albosaggia";49;27;31;58
"014002";"Albosaggia";50;25;20;45
"014002";"Albosaggia";51;27;28;55
"014002";"Albosaggia";52;26;24;50
"014002";"Albosaggia";53;23;26;49
"014002";"Albosaggia";54;25;25;50
"014002";"Albosaggia";55;26;28;54
"014002";"Albosaggia";56;23;22;45
"014002";"Albosaggia";57;27;26;53
