"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"015002";"Abbiategrasso";0;112;112;224
"015002";"Abbiategrasso";1;98;103;201
"015002";"Abbiategrasso";2;122;118;240
"015002";"Abbiategrasso";3;114;115;229
"015002";"Abbiategrasso";4;125;128;253
"015002";"Abbiategrasso";5;133;112;245
"015002";"Abbiategrasso";6;138;119;257
"015002";"Abbiategrasso";7;105;116;221
"015002";"Abbiategrasso";8;131;131;262
"015002";"Abbiategrasso";9;148;141;289
"015002";"Abbiategrasso";10;152;141;293
"015002";"Abbiategrasso";11;163;129;292
"015002";"Abbiategrasso";12;156;170;326
"015002";"Abbiategrasso";13;181;168;349
"015002";"Abbiategrasso";14;170;159;329
"015002";"Abbiategrasso";15;180;176;356
"015002";"Abbiategrasso";16;222;165;387
"015002";"Abbiategrasso";17;186;182;368
"015002";"Abbiategrasso";18;177;194;371
"015002";"Abbiategrasso";19;197;179;376
"015002";"Abbiategrasso";20;193;186;379
"015002";"Abbiategrasso";21;178;190;368
"015002";"Abbiategrasso";22;191;168;359
"015002";"Abbiategrasso";23;192;147;339
"015002";"Abbiategrasso";24;168;141;309
"015002";"Abbiategrasso";25;181;154;335
"015002";"Abbiategrasso";26;190;165;355
"015002";"Abbiategrasso";27;190;143;333
"015002";"Abbiategrasso";28;179;154;333
"015002";"Abbiategrasso";29;199;154;353
"015002";"Abbiategrasso";30;163;144;307
"015002";"Abbiategrasso";31;143;147;290
"015002";"Abbiategrasso";32;155;161;316
"015002";"Abbiategrasso";33;196;178;374
"015002";"Abbiategrasso";34;181;168;349
"015002";"Abbiategrasso";35;176;169;345
"015002";"Abbiategrasso";36;184;187;371
"015002";"Abbiategrasso";37;190;185;375
"015002";"Abbiategrasso";38;184;171;355
"015002";"Abbiategrasso";39;195;179;374
"015002";"Abbiategrasso";40;201;193;394
"015002";"Abbiategrasso";41;196;179;375
"015002";"Abbiategrasso";42;191;213;404
"015002";"Abbiategrasso";43;205;217;422
"015002";"Abbiategrasso";44;217;193;410
"015002";"Abbiategrasso";45;199;211;410
"015002";"Abbiategrasso";46;204;211;415
"015002";"Abbiategrasso";47;223;219;442
"015002";"Abbiategrasso";48;228;225;453
"015002";"Abbiategrasso";49;250;225;475
"015002";"Abbiategrasso";50;260;274;534
"015002";"Abbiategrasso";51;296;267;563
"015002";"Abbiategrasso";52;278;253;531
