"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"016001";"Adrara San Martino";0;8;7;15
"016001";"Adrara San Martino";1;7;5;12
"016001";"Adrara San Martino";2;8;11;19
"016001";"Adrara San Martino";3;6;7;13
"016001";"Adrara San Martino";4;11;13;24
"016001";"Adrara San Martino";5;7;9;16
"016001";"Adrara San Martino";6;7;7;14
"016001";"Adrara San Martino";7;9;11;20
"016001";"Adrara San Martino";8;9;7;16
"016001";"Adrara San Martino";9;11;8;19
"016001";"Adrara San Martino";10;16;11;27
"016001";"Adrara San Martino";11;11;7;18
"016001";"Adrara San Martino";12;12;8;20
"016001";"Adrara San Martino";13;10;11;21
"016001";"Adrara San Martino";14;12;7;19
"016001";"Adrara San Martino";15;9;8;17
"016001";"Adrara San Martino";16;12;10;22
"016001";"Adrara San Martino";17;15;13;28
"016001";"Adrara San Martino";18;13;8;21
"016001";"Adrara San Martino";19;15;11;26
"016001";"Adrara San Martino";20;13;11;24
"016001";"Adrara San Martino";21;15;12;27
"016001";"Adrara San Martino";22;19;9;28
"016001";"Adrara San Martino";23;20;18;38
"016001";"Adrara San Martino";24;19;9;28
"016001";"Adrara San Martino";25;11;9;20
"016001";"Adrara San Martino";26;13;17;30
"016001";"Adrara San Martino";27;12;12;24
"016001";"Adrara San Martino";28;14;10;24
"016001";"Adrara San Martino";29;12;7;19
"016001";"Adrara San Martino";30;18;7;25
"016001";"Adrara San Martino";31;19;15;34
"016001";"Adrara San Martino";32;16;11;27
"016001";"Adrara San Martino";33;14;18;32
"016001";"Adrara San Martino";34;18;9;27
"016001";"Adrara San Martino";35;10;13;23
"016001";"Adrara San Martino";36;15;9;24
"016001";"Adrara San Martino";37;11;9;20
"016001";"Adrara San Martino";38;12;12;24
"016001";"Adrara San Martino";39;10;13;23
"016001";"Adrara San Martino";40;8;8;16
"016001";"Adrara San Martino";41;18;8;26
"016001";"Adrara San Martino";42;9;14;23
"016001";"Adrara San Martino";43;19;11;30
"016001";"Adrara San Martino";44;16;9;25
"016001";"Adrara San Martino";45;18;15;33
"016001";"Adrara San Martino";46;11;11;22
"016001";"Adrara San Martino";47;23;18;41
"016001";"Adrara San Martino";48;20;19;39
"016001";"Adrara San Martino";49;20;18;38
"016001";"Adrara San Martino";50;17;15;32
"016001";"Adrara San Martino";51;22;21;43
"016001";"Adrara San Martino";52;21;18;39
"016001";"Adrara San Martino";53;16;20;36
"016001";"Adrara San Martino";54;19;12;31
"016001";"Adrara San Martino";55;15;17;32
"016001";"Adrara San Martino";56;17;15;32
"016001";"Adrara San Martino";57;11;21;32
"016001";"Adrara San Martino";58;25;22;47
"016001";"Adrara San Martino";59;30;26;56
"016001";"Adrara San Martino";60;27;22;49
"016001";"Adrara San Martino";61;13;14;27
"016001";"Adrara San Martino";62;25;22;47
"016001";"Adrara San Martino";63;28;9;37
"016001";"Adrara San Martino";64;20;15;35
"016001";"Adrara San Martino";65;17;15;32
"016001";"Adrara San Martino";66;16;16;32
"016001";"Adrara San Martino";67;17;15;32
"016001";"Adrara San Martino";68;7;9;16
"016001";"Adrara San Martino";69;8;15;23
"016001";"Adrara San Martino";70;18;9;27
"016001";"Adrara San Martino";71;12;8;20
"016001";"Adrara San Martino";72;12;14;26
"016001";"Adrara San Martino";73;10;9;19
"016001";"Adrara San Martino";74;8;9;17
"016001";"Adrara San Martino";75;8;8;16
"016001";"Adrara San Martino";76;8;10;18
"016001";"Adrara San Martino";77;7;6;13
"016001";"Adrara San Martino";78;8;7;15
"016001";"Adrara San Martino";79;6;8;14
"016001";"Adrara San Martino";80;0;8;8
"016001";"Adrara San Martino";81;7;5;12
"016001";"Adrara San Martino";82;3;4;7
"016001";"Adrara San Martino";83;8;5;13
"016001";"Adrara San Martino";84;2;5;7
"016001";"Adrara San Martino";85;3;5;8
"016001";"Adrara San Martino";86;4;4;8
"016001";"Adrara San Martino";87;1;3;4
"016001";"Adrara San Martino";88;2;4;6
"016001";"Adrara San Martino";89;4;3;7
"016001";"Adrara San Martino";90;2;7;9
"016001";"Adrara San Martino";91;2;7;9
"016001";"Adrara San Martino";92;2;3;5
"016001";"Adrara San Martino";93;1;3;4
"016001";"Adrara San Martino";94;0;2;2
"016001";"Adrara San Martino";95;1;3;4
"016001";"Adrara San Martino";96;1;1;2
"016001";"Adrara San Martino";97;0;1;1
"016001";"Adrara San Martino";98;0;0;0
"016001";"Adrara San Martino";99;0;0;0
"016001";"Adrara San Martino";100;0;1;1
"016001";"Adrara San Martino";999;1172;1041;2213
"016002";"Adrara San Rocco";0;1;5;6
"016002";"Adrara San Rocco";1;1;2;3
"016002";"Adrara San Rocco";2;2;5;7
"016002";"Adrara San Rocco";3;3;2;5
"016002";"Adrara San Rocco";4;3;0;3
"016002";"Adrara San Rocco";5;3;5;8
"016002";"Adrara San Rocco";6;5;0;5
"016002";"Adrara San Rocco";7;3;3;6
"016002";"Adrara San Rocco";8;0;5;5
"016002";"Adrara San Rocco";9;4;3;7
"016002";"Adrara San Rocco";10;3;5;8
"016002";"Adrara San Rocco";11;5;3;8
"016002";"Adrara San Rocco";12;4;1;5
"016002";"Adrara San Rocco";13;1;5;6
"016002";"Adrara San Rocco";14;5;6;11
"016002";"Adrara San Rocco";15;5;2;7
"016002";"Adrara San Rocco";16;2;4;6
"016002";"Adrara San Rocco";17;5;6;11
"016002";"Adrara San Rocco";18;2;3;5
"016002";"Adrara San Rocco";19;4;2;6
"016002";"Adrara San Rocco";20;2;2;4
"016002";"Adrara San Rocco";21;3;8;11
"016002";"Adrara San Rocco";22;13;5;18
"016002";"Adrara San Rocco";23;9;5;14
"016002";"Adrara San Rocco";24;4;4;8
"016002";"Adrara San Rocco";25;2;0;2
"016002";"Adrara San Rocco";26;6;4;10
"016002";"Adrara San Rocco";27;4;3;7
