"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"017001";"Acquafredda";0;4;2;6
"017001";"Acquafredda";1;8;3;11
"017001";"Acquafredda";2;7;4;11
"017001";"Acquafredda";3;4;2;6
"017001";"Acquafredda";4;3;4;7
"017001";"Acquafredda";5;7;12;19
"017001";"Acquafredda";6;4;5;9
"017001";"Acquafredda";7;7;6;13
"017001";"Acquafredda";8;5;5;10
"017001";"Acquafredda";9;8;7;15
"017001";"Acquafredda";10;6;12;18
"017001";"Acquafredda";11;10;6;16
"017001";"Acquafredda";12;9;4;13
"017001";"Acquafredda";13;4;11;15
"017001";"Acquafredda";14;9;5;14
"017001";"Acquafredda";15;6;8;14
"017001";"Acquafredda";16;11;5;16
"017001";"Acquafredda";17;12;9;21
"017001";"Acquafredda";18;7;11;18
"017001";"Acquafredda";19;9;11;20
"017001";"Acquafredda";20;10;7;17
"017001";"Acquafredda";21;13;11;24
"017001";"Acquafredda";22;9;11;20
"017001";"Acquafredda";23;12;9;21
"017001";"Acquafredda";24;16;8;24
"017001";"Acquafredda";25;10;11;21
"017001";"Acquafredda";26;12;8;20
"017001";"Acquafredda";27;5;10;15
"017001";"Acquafredda";28;12;1;13
"017001";"Acquafredda";29;3;6;9
"017001";"Acquafredda";30;10;11;21
"017001";"Acquafredda";31;3;10;13
"017001";"Acquafredda";32;6;7;13
"017001";"Acquafredda";33;8;5;13
"017001";"Acquafredda";34;3;3;6
"017001";"Acquafredda";35;9;10;19
"017001";"Acquafredda";36;11;10;21
"017001";"Acquafredda";37;6;6;12
"017001";"Acquafredda";38;9;10;19
"017001";"Acquafredda";39;13;7;20
"017001";"Acquafredda";40;7;7;14
"017001";"Acquafredda";41;6;8;14
"017001";"Acquafredda";42;12;15;27
"017001";"Acquafredda";43;4;4;8
"017001";"Acquafredda";44;6;14;20
"017001";"Acquafredda";45;10;8;18
"017001";"Acquafredda";46;11;7;18
"017001";"Acquafredda";47;12;9;21
"017001";"Acquafredda";48;10;19;29
"017001";"Acquafredda";49;11;5;16
"017001";"Acquafredda";50;11;20;31
"017001";"Acquafredda";51;15;19;34
"017001";"Acquafredda";52;9;5;14
"017001";"Acquafredda";53;18;11;29
"017001";"Acquafredda";54;15;12;27
"017001";"Acquafredda";55;12;18;30
"017001";"Acquafredda";56;10;21;31
"017001";"Acquafredda";57;18;12;30
"017001";"Acquafredda";58;15;16;31
"017001";"Acquafredda";59;10;13;23
"017001";"Acquafredda";60;14;21;35
"017001";"Acquafredda";61;24;8;32
"017001";"Acquafredda";62;9;6;15
"017001";"Acquafredda";63;7;16;23
"017001";"Acquafredda";64;17;7;24
"017001";"Acquafredda";65;15;9;24
"017001";"Acquafredda";66;8;12;20
"017001";"Acquafredda";67;12;9;21
"017001";"Acquafredda";68;10;6;16
"017001";"Acquafredda";69;7;7;14
"017001";"Acquafredda";70;15;14;29
"017001";"Acquafredda";71;6;5;11
"017001";"Acquafredda";72;5;8;13
"017001";"Acquafredda";73;7;8;15
"017001";"Acquafredda";74;3;5;8
"017001";"Acquafredda";75;7;5;12
"017001";"Acquafredda";76;9;9;18
"017001";"Acquafredda";77;5;8;13
"017001";"Acquafredda";78;8;8;16
"017001";"Acquafredda";79;11;6;17
"017001";"Acquafredda";80;6;1;7
"017001";"Acquafredda";81;4;8;12
"017001";"Acquafredda";82;3;5;8
"017001";"Acquafredda";83;5;7;12
"017001";"Acquafredda";84;2;1;3
"017001";"Acquafredda";85;1;1;2
"017001";"Acquafredda";86;2;3;5
"017001";"Acquafredda";87;4;4;8
