"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"018001";"Alagna";0;2;2;4
"018001";"Alagna";1;3;3;6
"018001";"Alagna";2;1;4;5
"018001";"Alagna";3;6;1;7
"018001";"Alagna";4;0;4;4
"018001";"Alagna";5;3;1;4
"018001";"Alagna";6;4;2;6
"018001";"Alagna";7;4;1;5
"018001";"Alagna";8;1;1;2
"018001";"Alagna";9;3;3;6
"018001";"Alagna";10;0;0;0
"018001";"Alagna";11;3;5;8
"018001";"Alagna";12;5;5;10
"018001";"Alagna";13;1;3;4
"018001";"Alagna";14;3;3;6
"018001";"Alagna";15;3;3;6
"018001";"Alagna";16;4;6;10
"018001";"Alagna";17;3;3;6
"018001";"Alagna";18;3;3;6
"018001";"Alagna";19;3;5;8
"018001";"Alagna";20;2;4;6
"018001";"Alagna";21;3;2;5
"018001";"Alagna";22;3;5;8
"018001";"Alagna";23;2;4;6
"018001";"Alagna";24;3;5;8
"018001";"Alagna";25;3;5;8
"018001";"Alagna";26;7;4;11
"018001";"Alagna";27;1;2;3
"018001";"Alagna";28;1;2;3
"018001";"Alagna";29;2;2;4
"018001";"Alagna";30;8;8;16
"018001";"Alagna";31;3;3;6
"018001";"Alagna";32;3;3;6
"018001";"Alagna";33;7;5;12
"018001";"Alagna";34;4;4;8
"018001";"Alagna";35;4;8;12
"018001";"Alagna";36;5;5;10
"018001";"Alagna";37;6;5;11
"018001";"Alagna";38;6;1;7
"018001";"Alagna";39;4;3;7
"018001";"Alagna";40;7;6;13
"018001";"Alagna";41;5;2;7
"018001";"Alagna";42;2;4;6
"018001";"Alagna";43;3;7;10
"018001";"Alagna";44;8;4;12
"018001";"Alagna";45;3;6;9
"018001";"Alagna";46;7;4;11
"018001";"Alagna";47;6;8;14
"018001";"Alagna";48;3;3;6
"018001";"Alagna";49;12;5;17
"018001";"Alagna";50;8;11;19
"018001";"Alagna";51;6;7;13
"018001";"Alagna";52;9;12;21
"018001";"Alagna";53;12;11;23
"018001";"Alagna";54;7;5;12
"018001";"Alagna";55;7;5;12
"018001";"Alagna";56;12;12;24
"018001";"Alagna";57;7;12;19
"018001";"Alagna";58;10;7;17
