"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"019001";"Acquanegra Cremonese";0;4;4;8
"019001";"Acquanegra Cremonese";1;3;5;8
"019001";"Acquanegra Cremonese";2;4;5;9
"019001";"Acquanegra Cremonese";3;1;2;3
"019001";"Acquanegra Cremonese";4;6;3;9
"019001";"Acquanegra Cremonese";5;3;3;6
"019001";"Acquanegra Cremonese";6;9;5;14
"019001";"Acquanegra Cremonese";7;5;6;11
"019001";"Acquanegra Cremonese";8;2;3;5
"019001";"Acquanegra Cremonese";9;3;8;11
"019001";"Acquanegra Cremonese";10;2;5;7
"019001";"Acquanegra Cremonese";11;3;5;8
"019001";"Acquanegra Cremonese";12;5;7;12
"019001";"Acquanegra Cremonese";13;3;3;6
"019001";"Acquanegra Cremonese";14;3;8;11
"019001";"Acquanegra Cremonese";15;8;4;12
"019001";"Acquanegra Cremonese";16;4;3;7
"019001";"Acquanegra Cremonese";17;11;3;14
"019001";"Acquanegra Cremonese";18;3;5;8
"019001";"Acquanegra Cremonese";19;3;8;11
"019001";"Acquanegra Cremonese";20;13;6;19
"019001";"Acquanegra Cremonese";21;9;6;15
"019001";"Acquanegra Cremonese";22;4;5;9
"019001";"Acquanegra Cremonese";23;11;4;15
"019001";"Acquanegra Cremonese";24;9;8;17
"019001";"Acquanegra Cremonese";25;6;3;9
"019001";"Acquanegra Cremonese";26;9;4;13
"019001";"Acquanegra Cremonese";27;8;10;18
"019001";"Acquanegra Cremonese";28;8;6;14
"019001";"Acquanegra Cremonese";29;6;11;17
"019001";"Acquanegra Cremonese";30;6;7;13
"019001";"Acquanegra Cremonese";31;8;3;11
"019001";"Acquanegra Cremonese";32;4;9;13
"019001";"Acquanegra Cremonese";33;10;11;21
"019001";"Acquanegra Cremonese";34;5;7;12
"019001";"Acquanegra Cremonese";35;7;5;12
"019001";"Acquanegra Cremonese";36;1;4;5
"019001";"Acquanegra Cremonese";37;11;6;17
"019001";"Acquanegra Cremonese";38;3;7;10
"019001";"Acquanegra Cremonese";39;3;8;11
"019001";"Acquanegra Cremonese";40;6;4;10
"019001";"Acquanegra Cremonese";41;9;5;14
"019001";"Acquanegra Cremonese";42;4;5;9
"019001";"Acquanegra Cremonese";43;3;3;6
"019001";"Acquanegra Cremonese";44;10;9;19
"019001";"Acquanegra Cremonese";45;5;6;11
"019001";"Acquanegra Cremonese";46;9;5;14
"019001";"Acquanegra Cremonese";47;8;5;13
"019001";"Acquanegra Cremonese";48;9;4;13
"019001";"Acquanegra Cremonese";49;9;11;20
"019001";"Acquanegra Cremonese";50;11;9;20
"019001";"Acquanegra Cremonese";51;8;6;14
"019001";"Acquanegra Cremonese";52;6;11;17
"019001";"Acquanegra Cremonese";53;7;8;15
"019001";"Acquanegra Cremonese";54;15;6;21
"019001";"Acquanegra Cremonese";55;5;3;8
"019001";"Acquanegra Cremonese";56;10;12;22
"019001";"Acquanegra Cremonese";57;15;7;22
"019001";"Acquanegra Cremonese";58;7;7;14
"019001";"Acquanegra Cremonese";59;15;10;25
"019001";"Acquanegra Cremonese";60;10;10;20
"019001";"Acquanegra Cremonese";61;15;8;23
"019001";"Acquanegra Cremonese";62;10;10;20
"019001";"Acquanegra Cremonese";63;6;11;17
"019001";"Acquanegra Cremonese";64;9;11;20
"019001";"Acquanegra Cremonese";65;12;10;22
"019001";"Acquanegra Cremonese";66;7;3;10
"019001";"Acquanegra Cremonese";67;8;4;12
"019001";"Acquanegra Cremonese";68;10;10;20
"019001";"Acquanegra Cremonese";69;5;2;7
"019001";"Acquanegra Cremonese";70;2;6;8
"019001";"Acquanegra Cremonese";71;3;8;11
"019001";"Acquanegra Cremonese";72;7;7;14
"019001";"Acquanegra Cremonese";73;8;10;18
"019001";"Acquanegra Cremonese";74;4;8;12
"019001";"Acquanegra Cremonese";75;11;4;15
"019001";"Acquanegra Cremonese";76;3;2;5
"019001";"Acquanegra Cremonese";77;5;9;14
"019001";"Acquanegra Cremonese";78;6;13;19
"019001";"Acquanegra Cremonese";79;7;3;10
"019001";"Acquanegra Cremonese";80;5;4;9
"019001";"Acquanegra Cremonese";81;6;4;10
"019001";"Acquanegra Cremonese";82;2;4;6
"019001";"Acquanegra Cremonese";83;4;6;10
"019001";"Acquanegra Cremonese";84;2;6;8
"019001";"Acquanegra Cremonese";85;3;5;8
"019001";"Acquanegra Cremonese";86;5;7;12
"019001";"Acquanegra Cremonese";87;4;5;9
"019001";"Acquanegra Cremonese";88;2;5;7
"019001";"Acquanegra Cremonese";89;1;3;4
"019001";"Acquanegra Cremonese";90;3;5;8
"019001";"Acquanegra Cremonese";91;0;7;7
"019001";"Acquanegra Cremonese";92;0;4;4
"019001";"Acquanegra Cremonese";93;1;4;5
"019001";"Acquanegra Cremonese";94;0;2;2
"019001";"Acquanegra Cremonese";95;0;2;2
"019001";"Acquanegra Cremonese";96;0;0;0
"019001";"Acquanegra Cremonese";97;0;1;1
"019001";"Acquanegra Cremonese";98;0;0;0
"019001";"Acquanegra Cremonese";99;0;0;0
"019001";"Acquanegra Cremonese";100;0;0;0
"019001";"Acquanegra Cremonese";999;583;584;1167
"019002";"Agnadello";0;14;16;30
"019002";"Agnadello";1;12;14;26
"019002";"Agnadello";2;16;8;24
"019002";"Agnadello";3;13;12;25
"019002";"Agnadello";4;20;13;33
"019002";"Agnadello";5;17;20;37
"019002";"Agnadello";6;17;11;28
"019002";"Agnadello";7;20;18;38
"019002";"Agnadello";8;10;23;33
"019002";"Agnadello";9;11;21;32
"019002";"Agnadello";10;30;17;47
"019002";"Agnadello";11;23;13;36
"019002";"Agnadello";12;21;10;31
"019002";"Agnadello";13;19;23;42
"019002";"Agnadello";14;26;20;46
"019002";"Agnadello";15;24;22;46
"019002";"Agnadello";16;17;23;40
"019002";"Agnadello";17;27;16;43
"019002";"Agnadello";18;18;20;38
"019002";"Agnadello";19;19;20;39
"019002";"Agnadello";20;19;22;41
"019002";"Agnadello";21;23;22;45
"019002";"Agnadello";22;23;13;36
"019002";"Agnadello";23;20;29;49
"019002";"Agnadello";24;11;19;30
"019002";"Agnadello";25;27;19;46
"019002";"Agnadello";26;26;23;49
"019002";"Agnadello";27;21;23;44
"019002";"Agnadello";28;30;15;45
"019002";"Agnadello";29;24;20;44
"019002";"Agnadello";30;20;22;42
"019002";"Agnadello";31;28;21;49
"019002";"Agnadello";32;24;24;48
"019002";"Agnadello";33;23;19;42
"019002";"Agnadello";34;22;18;40
"019002";"Agnadello";35;22;26;48
"019002";"Agnadello";36;19;24;43
"019002";"Agnadello";37;30;25;55
"019002";"Agnadello";38;30;30;60
"019002";"Agnadello";39;20;24;44
"019002";"Agnadello";40;17;21;38
"019002";"Agnadello";41;31;23;54
"019002";"Agnadello";42;25;27;52
"019002";"Agnadello";43;27;26;53
"019002";"Agnadello";44;24;40;64
"019002";"Agnadello";45;25;30;55
"019002";"Agnadello";46;27;32;59
"019002";"Agnadello";47;38;37;75
"019002";"Agnadello";48;44;28;72
"019002";"Agnadello";49;40;39;79
"019002";"Agnadello";50;34;29;63
"019002";"Agnadello";51;38;31;69
"019002";"Agnadello";52;33;32;65
"019002";"Agnadello";53;40;35;75
"019002";"Agnadello";54;33;35;68
"019002";"Agnadello";55;33;37;70
"019002";"Agnadello";56;41;38;79
"019002";"Agnadello";57;36;29;65
"019002";"Agnadello";58;32;40;72
"019002";"Agnadello";59;35;30;65
"019002";"Agnadello";60;40;32;72
"019002";"Agnadello";61;29;33;62
"019002";"Agnadello";62;42;33;75
"019002";"Agnadello";63;22;24;46
"019002";"Agnadello";64;29;22;51
"019002";"Agnadello";65;19;14;33
"019002";"Agnadello";66;17;17;34
"019002";"Agnadello";67;21;16;37
"019002";"Agnadello";68;20;28;48
"019002";"Agnadello";69;20;19;39
"019002";"Agnadello";70;24;26;50
"019002";"Agnadello";71;16;16;32
"019002";"Agnadello";72;16;23;39
"019002";"Agnadello";73;21;16;37
"019002";"Agnadello";74;12;18;30
"019002";"Agnadello";75;14;21;35
"019002";"Agnadello";76;17;20;37
"019002";"Agnadello";77;15;17;32
"019002";"Agnadello";78;12;26;38
"019002";"Agnadello";79;15;15;30
"019002";"Agnadello";80;9;13;22
"019002";"Agnadello";81;6;5;11
"019002";"Agnadello";82;6;9;15
"019002";"Agnadello";83;6;10;16
"019002";"Agnadello";84;11;16;27
"019002";"Agnadello";85;10;12;22
"019002";"Agnadello";86;7;14;21
"019002";"Agnadello";87;4;12;16
"019002";"Agnadello";88;3;7;10
"019002";"Agnadello";89;5;7;12
"019002";"Agnadello";90;1;6;7
"019002";"Agnadello";91;2;6;8
"019002";"Agnadello";92;2;0;2
"019002";"Agnadello";93;0;2;2
"019002";"Agnadello";94;0;2;2
"019002";"Agnadello";95;1;2;3
"019002";"Agnadello";96;0;1;1
"019002";"Agnadello";97;0;2;2
"019002";"Agnadello";98;0;0;0
"019002";"Agnadello";99;0;0;0
"019002";"Agnadello";100;0;1;1
"019002";"Agnadello";999;1983;1980;3963
"019003";"Annicco";0;9;7;16
"019003";"Annicco";1;7;8;15
"019003";"Annicco";2;8;4;12
"019003";"Annicco";3;6;8;14
"019003";"Annicco";4;10;4;14
"019003";"Annicco";5;11;2;13
"019003";"Annicco";6;8;5;13
"019003";"Annicco";7;3;6;9
"019003";"Annicco";8;13;10;23
"019003";"Annicco";9;6;11;17
"019003";"Annicco";10;7;6;13
"019003";"Annicco";11;5;10;15
"019003";"Annicco";12;7;8;15
"019003";"Annicco";13;10;9;19
"019003";"Annicco";14;9;6;15
"019003";"Annicco";15;7;7;14
"019003";"Annicco";16;11;15;26
"019003";"Annicco";17;10;12;22
"019003";"Annicco";18;7;13;20
"019003";"Annicco";19;3;7;10
"019003";"Annicco";20;12;5;17
"019003";"Annicco";21;15;9;24
"019003";"Annicco";22;15;13;28
"019003";"Annicco";23;11;7;18
"019003";"Annicco";24;14;14;28
"019003";"Annicco";25;9;9;18
"019003";"Annicco";26;9;6;15
"019003";"Annicco";27;13;12;25
"019003";"Annicco";28;10;13;23
"019003";"Annicco";29;14;11;25
"019003";"Annicco";30;7;6;13
"019003";"Annicco";31;10;6;16
"019003";"Annicco";32;22;13;35
"019003";"Annicco";33;7;6;13
"019003";"Annicco";34;8;11;19
"019003";"Annicco";35;9;9;18
"019003";"Annicco";36;9;5;14
"019003";"Annicco";37;15;12;27
"019003";"Annicco";38;8;11;19
"019003";"Annicco";39;10;9;19
"019003";"Annicco";40;11;7;18
"019003";"Annicco";41;8;17;25
"019003";"Annicco";42;13;9;22
"019003";"Annicco";43;15;11;26
"019003";"Annicco";44;11;10;21
"019003";"Annicco";45;10;12;22
"019003";"Annicco";46;11;17;28
"019003";"Annicco";47;10;5;15
"019003";"Annicco";48;21;20;41
"019003";"Annicco";49;20;15;35
"019003";"Annicco";50;14;15;29
"019003";"Annicco";51;10;19;29
"019003";"Annicco";52;12;8;20
"019003";"Annicco";53;18;14;32
"019003";"Annicco";54;27;11;38
"019003";"Annicco";55;13;14;27
"019003";"Annicco";56;25;13;38
"019003";"Annicco";57;12;18;30
"019003";"Annicco";58;20;19;39
"019003";"Annicco";59;18;15;33
"019003";"Annicco";60;18;18;36
"019003";"Annicco";61;10;13;23
"019003";"Annicco";62;19;12;31
"019003";"Annicco";63;13;13;26
"019003";"Annicco";64;16;14;30
"019003";"Annicco";65;16;18;34
"019003";"Annicco";66;19;19;38
"019003";"Annicco";67;18;18;36
"019003";"Annicco";68;13;7;20
"019003";"Annicco";69;9;11;20
"019003";"Annicco";70;10;6;16
"019003";"Annicco";71;13;14;27
"019003";"Annicco";72;8;9;17
"019003";"Annicco";73;10;13;23
"019003";"Annicco";74;7;8;15
"019003";"Annicco";75;10;8;18
"019003";"Annicco";76;10;15;25
"019003";"Annicco";77;12;6;18
"019003";"Annicco";78;12;11;23
"019003";"Annicco";79;8;16;24
"019003";"Annicco";80;7;5;12
"019003";"Annicco";81;7;4;11
"019003";"Annicco";82;5;12;17
"019003";"Annicco";83;3;5;8
"019003";"Annicco";84;8;8;16
