"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"020001";"Acquanegra sul Chiese";0;8;5;13
"020001";"Acquanegra sul Chiese";1;13;3;16
"020001";"Acquanegra sul Chiese";2;6;9;15
"020001";"Acquanegra sul Chiese";3;7;8;15
"020001";"Acquanegra sul Chiese";4;10;14;24
"020001";"Acquanegra sul Chiese";5;6;9;15
"020001";"Acquanegra sul Chiese";6;8;7;15
"020001";"Acquanegra sul Chiese";7;8;6;14
"020001";"Acquanegra sul Chiese";8;6;11;17
"020001";"Acquanegra sul Chiese";9;11;12;23
"020001";"Acquanegra sul Chiese";10;9;7;16
"020001";"Acquanegra sul Chiese";11;18;11;29
"020001";"Acquanegra sul Chiese";12;9;11;20
"020001";"Acquanegra sul Chiese";13;16;14;30
"020001";"Acquanegra sul Chiese";14;12;11;23
"020001";"Acquanegra sul Chiese";15;12;20;32
"020001";"Acquanegra sul Chiese";16;9;11;20
"020001";"Acquanegra sul Chiese";17;12;11;23
"020001";"Acquanegra sul Chiese";18;25;13;38
"020001";"Acquanegra sul Chiese";19;14;10;24
"020001";"Acquanegra sul Chiese";20;15;10;25
"020001";"Acquanegra sul Chiese";21;16;10;26
"020001";"Acquanegra sul Chiese";22;9;10;19
"020001";"Acquanegra sul Chiese";23;19;13;32
"020001";"Acquanegra sul Chiese";24;17;11;28
"020001";"Acquanegra sul Chiese";25;18;14;32
"020001";"Acquanegra sul Chiese";26;14;16;30
"020001";"Acquanegra sul Chiese";27;8;13;21
"020001";"Acquanegra sul Chiese";28;14;14;28
"020001";"Acquanegra sul Chiese";29;10;11;21
"020001";"Acquanegra sul Chiese";30;20;17;37
"020001";"Acquanegra sul Chiese";31;8;15;23
"020001";"Acquanegra sul Chiese";32;18;12;30
"020001";"Acquanegra sul Chiese";33;19;19;38
"020001";"Acquanegra sul Chiese";34;16;14;30
"020001";"Acquanegra sul Chiese";35;19;12;31
"020001";"Acquanegra sul Chiese";36;16;16;32
"020001";"Acquanegra sul Chiese";37;9;10;19
"020001";"Acquanegra sul Chiese";38;16;17;33
"020001";"Acquanegra sul Chiese";39;21;10;31
"020001";"Acquanegra sul Chiese";40;17;11;28
"020001";"Acquanegra sul Chiese";41;15;11;26
"020001";"Acquanegra sul Chiese";42;17;14;31
"020001";"Acquanegra sul Chiese";43;13;12;25
"020001";"Acquanegra sul Chiese";44;18;16;34
"020001";"Acquanegra sul Chiese";45;17;19;36
"020001";"Acquanegra sul Chiese";46;16;21;37
"020001";"Acquanegra sul Chiese";47;13;10;23
"020001";"Acquanegra sul Chiese";48;22;14;36
"020001";"Acquanegra sul Chiese";49;25;15;40
"020001";"Acquanegra sul Chiese";50;22;17;39
"020001";"Acquanegra sul Chiese";51;23;15;38
"020001";"Acquanegra sul Chiese";52;23;17;40
"020001";"Acquanegra sul Chiese";53;17;21;38
"020001";"Acquanegra sul Chiese";54;29;22;51
"020001";"Acquanegra sul Chiese";55;22;24;46
"020001";"Acquanegra sul Chiese";56;23;18;41
"020001";"Acquanegra sul Chiese";57;16;25;41
"020001";"Acquanegra sul Chiese";58;21;26;47
"020001";"Acquanegra sul Chiese";59;28;24;52
"020001";"Acquanegra sul Chiese";60;28;22;50
"020001";"Acquanegra sul Chiese";61;27;37;64
"020001";"Acquanegra sul Chiese";62;22;19;41
"020001";"Acquanegra sul Chiese";63;14;19;33
"020001";"Acquanegra sul Chiese";64;23;22;45
"020001";"Acquanegra sul Chiese";65;15;23;38
"020001";"Acquanegra sul Chiese";66;21;19;40
"020001";"Acquanegra sul Chiese";67;17;18;35
"020001";"Acquanegra sul Chiese";68;20;23;43
"020001";"Acquanegra sul Chiese";69;19;9;28
"020001";"Acquanegra sul Chiese";70;15;18;33
"020001";"Acquanegra sul Chiese";71;16;7;23
"020001";"Acquanegra sul Chiese";72;13;14;27
"020001";"Acquanegra sul Chiese";73;16;15;31
"020001";"Acquanegra sul Chiese";74;14;18;32
"020001";"Acquanegra sul Chiese";75;10;18;28
"020001";"Acquanegra sul Chiese";76;13;16;29
"020001";"Acquanegra sul Chiese";77;14;12;26
"020001";"Acquanegra sul Chiese";78;12;20;32
"020001";"Acquanegra sul Chiese";79;14;16;30
"020001";"Acquanegra sul Chiese";80;7;12;19
"020001";"Acquanegra sul Chiese";81;17;22;39
"020001";"Acquanegra sul Chiese";82;10;10;20
"020001";"Acquanegra sul Chiese";83;6;8;14
"020001";"Acquanegra sul Chiese";84;12;8;20
"020001";"Acquanegra sul Chiese";85;9;18;27
"020001";"Acquanegra sul Chiese";86;9;25;34
"020001";"Acquanegra sul Chiese";87;10;8;18
"020001";"Acquanegra sul Chiese";88;7;14;21
"020001";"Acquanegra sul Chiese";89;2;9;11
"020001";"Acquanegra sul Chiese";90;3;6;9
"020001";"Acquanegra sul Chiese";91;3;7;10
"020001";"Acquanegra sul Chiese";92;3;11;14
"020001";"Acquanegra sul Chiese";93;2;4;6
"020001";"Acquanegra sul Chiese";94;1;1;2
"020001";"Acquanegra sul Chiese";95;0;6;6
