"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"097001";"Abbadia Lariana";0;7;5;12
"097001";"Abbadia Lariana";1;6;12;18
"097001";"Abbadia Lariana";2;12;3;15
"097001";"Abbadia Lariana";3;12;8;20
"097001";"Abbadia Lariana";4;11;8;19
"097001";"Abbadia Lariana";5;17;8;25
"097001";"Abbadia Lariana";6;8;8;16
"097001";"Abbadia Lariana";7;6;12;18
"097001";"Abbadia Lariana";8;7;13;20
"097001";"Abbadia Lariana";9;12;9;21
"097001";"Abbadia Lariana";10;18;18;36
"097001";"Abbadia Lariana";11;12;10;22
"097001";"Abbadia Lariana";12;9;10;19
"097001";"Abbadia Lariana";13;17;13;30
"097001";"Abbadia Lariana";14;13;17;30
"097001";"Abbadia Lariana";15;14;13;27
"097001";"Abbadia Lariana";16;11;13;24
"097001";"Abbadia Lariana";17;9;14;23
"097001";"Abbadia Lariana";18;12;16;28
"097001";"Abbadia Lariana";19;16;10;26
"097001";"Abbadia Lariana";20;22;11;33
"097001";"Abbadia Lariana";21;13;11;24
"097001";"Abbadia Lariana";22;19;19;38
"097001";"Abbadia Lariana";23;13;14;27
"097001";"Abbadia Lariana";24;18;18;36
"097001";"Abbadia Lariana";25;15;25;40
"097001";"Abbadia Lariana";26;18;22;40
"097001";"Abbadia Lariana";27;10;17;27
"097001";"Abbadia Lariana";28;15;14;29
"097001";"Abbadia Lariana";29;14;10;24
"097001";"Abbadia Lariana";30;15;13;28
"097001";"Abbadia Lariana";31;16;13;29
"097001";"Abbadia Lariana";32;14;22;36
"097001";"Abbadia Lariana";33;12;13;25
"097001";"Abbadia Lariana";34;14;15;29
"097001";"Abbadia Lariana";35;13;18;31
"097001";"Abbadia Lariana";36;22;18;40
"097001";"Abbadia Lariana";37;11;12;23
"097001";"Abbadia Lariana";38;21;9;30
"097001";"Abbadia Lariana";39;19;14;33
"097001";"Abbadia Lariana";40;13;16;29
"097001";"Abbadia Lariana";41;20;18;38
"097001";"Abbadia Lariana";42;19;20;39
"097001";"Abbadia Lariana";43;18;17;35
"097001";"Abbadia Lariana";44;15;20;35
"097001";"Abbadia Lariana";45;22;24;46
"097001";"Abbadia Lariana";46;19;16;35
"097001";"Abbadia Lariana";47;18;19;37
"097001";"Abbadia Lariana";48;24;25;49
"097001";"Abbadia Lariana";49;24;26;50
"097001";"Abbadia Lariana";50;29;18;47
"097001";"Abbadia Lariana";51;32;27;59
"097001";"Abbadia Lariana";52;17;31;48
"097001";"Abbadia Lariana";53;29;33;62
"097001";"Abbadia Lariana";54;25;30;55
"097001";"Abbadia Lariana";55;29;33;62
"097001";"Abbadia Lariana";56;25;30;55
"097001";"Abbadia Lariana";57;31;25;56
"097001";"Abbadia Lariana";58;34;30;64
"097001";"Abbadia Lariana";59;42;22;64
"097001";"Abbadia Lariana";60;26;25;51
"097001";"Abbadia Lariana";61;14;22;36
"097001";"Abbadia Lariana";62;24;34;58
"097001";"Abbadia Lariana";63;19;35;54
"097001";"Abbadia Lariana";64;16;18;34
"097001";"Abbadia Lariana";65;24;21;45
"097001";"Abbadia Lariana";66;23;25;48
"097001";"Abbadia Lariana";67;26;25;51
"097001";"Abbadia Lariana";68;28;28;56
"097001";"Abbadia Lariana";69;26;21;47
"097001";"Abbadia Lariana";70;20;19;39
"097001";"Abbadia Lariana";71;15;21;36
"097001";"Abbadia Lariana";72;16;15;31
"097001";"Abbadia Lariana";73;18;13;31
"097001";"Abbadia Lariana";74;20;25;45
"097001";"Abbadia Lariana";75;22;16;38
"097001";"Abbadia Lariana";76;24;22;46
"097001";"Abbadia Lariana";77;14;14;28
"097001";"Abbadia Lariana";78;22;25;47
"097001";"Abbadia Lariana";79;15;15;30
"097001";"Abbadia Lariana";80;12;15;27
"097001";"Abbadia Lariana";81;11;13;24
"097001";"Abbadia Lariana";82;2;12;14
"097001";"Abbadia Lariana";83;7;14;21
"097001";"Abbadia Lariana";84;9;11;20
"097001";"Abbadia Lariana";85;11;16;27
"097001";"Abbadia Lariana";86;10;14;24
"097001";"Abbadia Lariana";87;8;13;21
"097001";"Abbadia Lariana";88;6;11;17
"097001";"Abbadia Lariana";89;2;4;6
"097001";"Abbadia Lariana";90;3;8;11
"097001";"Abbadia Lariana";91;6;7;13
"097001";"Abbadia Lariana";92;3;3;6
"097001";"Abbadia Lariana";93;2;3;5
"097001";"Abbadia Lariana";94;3;4;7
"097001";"Abbadia Lariana";95;2;3;5
"097001";"Abbadia Lariana";96;0;1;1
"097001";"Abbadia Lariana";97;0;1;1
"097001";"Abbadia Lariana";98;0;0;0
"097001";"Abbadia Lariana";99;0;0;0
"097001";"Abbadia Lariana";100;0;1;1
"097001";"Abbadia Lariana";999;1537;1601;3138
"097002";"Airuno";0;11;10;21
"097002";"Airuno";1;13;8;21
"097002";"Airuno";2;10;8;18
"097002";"Airuno";3;13;10;23
"097002";"Airuno";4;9;9;18
"097002";"Airuno";5;17;9;26
"097002";"Airuno";6;12;9;21
"097002";"Airuno";7;16;9;25
"097002";"Airuno";8;17;13;30
"097002";"Airuno";9;6;17;23
"097002";"Airuno";10;17;11;28
"097002";"Airuno";11;16;8;24
"097002";"Airuno";12;13;10;23
"097002";"Airuno";13;12;17;29
"097002";"Airuno";14;18;9;27
"097002";"Airuno";15;19;14;33
"097002";"Airuno";16;22;15;37
"097002";"Airuno";17;10;19;29
"097002";"Airuno";18;20;15;35
"097002";"Airuno";19;13;13;26
"097002";"Airuno";20;13;7;20
"097002";"Airuno";21;21;19;40
"097002";"Airuno";22;20;14;34
"097002";"Airuno";23;18;10;28
"097002";"Airuno";24;18;11;29
"097002";"Airuno";25;18;16;34
"097002";"Airuno";26;25;14;39
"097002";"Airuno";27;22;17;39
"097002";"Airuno";28;27;12;39
"097002";"Airuno";29;24;19;43
"097002";"Airuno";30;15;21;36
"097002";"Airuno";31;11;12;23
"097002";"Airuno";32;16;18;34
"097002";"Airuno";33;20;15;35
"097002";"Airuno";34;23;17;40
"097002";"Airuno";35;18;17;35
"097002";"Airuno";36;23;12;35
"097002";"Airuno";37;24;19;43
"097002";"Airuno";38;22;14;36
"097002";"Airuno";39;14;17;31
"097002";"Airuno";40;23;12;35
"097002";"Airuno";41;18;16;34
"097002";"Airuno";42;21;16;37
"097002";"Airuno";43;21;12;33
"097002";"Airuno";44;20;22;42
"097002";"Airuno";45;11;15;26
"097002";"Airuno";46;11;18;29
"097002";"Airuno";47;19;23;42
"097002";"Airuno";48;25;21;46
"097002";"Airuno";49;16;18;34
"097002";"Airuno";50;29;12;41
"097002";"Airuno";51;28;26;54
"097002";"Airuno";52;27;16;43
"097002";"Airuno";53;24;17;41
"097002";"Airuno";54;17;15;32
"097002";"Airuno";55;14;13;27
"097002";"Airuno";56;26;17;43
