"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"098001";"Abbadia Cerreto";0;1;0;1
"098001";"Abbadia Cerreto";1;3;1;4
"098001";"Abbadia Cerreto";2;0;1;1
"098001";"Abbadia Cerreto";3;2;0;2
"098001";"Abbadia Cerreto";4;1;2;3
"098001";"Abbadia Cerreto";5;1;2;3
"098001";"Abbadia Cerreto";6;1;1;2
"098001";"Abbadia Cerreto";7;0;2;2
"098001";"Abbadia Cerreto";8;0;2;2
"098001";"Abbadia Cerreto";9;3;1;4
"098001";"Abbadia Cerreto";10;0;0;0
"098001";"Abbadia Cerreto";11;1;0;1
"098001";"Abbadia Cerreto";12;3;2;5
"098001";"Abbadia Cerreto";13;0;0;0
"098001";"Abbadia Cerreto";14;2;0;2
"098001";"Abbadia Cerreto";15;2;1;3
"098001";"Abbadia Cerreto";16;2;0;2
"098001";"Abbadia Cerreto";17;1;0;1
"098001";"Abbadia Cerreto";18;2;2;4
"098001";"Abbadia Cerreto";19;1;1;2
"098001";"Abbadia Cerreto";20;2;0;2
"098001";"Abbadia Cerreto";21;3;0;3
"098001";"Abbadia Cerreto";22;2;1;3
"098001";"Abbadia Cerreto";23;1;0;1
"098001";"Abbadia Cerreto";24;0;3;3
"098001";"Abbadia Cerreto";25;0;0;0
"098001";"Abbadia Cerreto";26;1;2;3
"098001";"Abbadia Cerreto";27;2;1;3
"098001";"Abbadia Cerreto";28;2;0;2
"098001";"Abbadia Cerreto";29;1;2;3
"098001";"Abbadia Cerreto";30;1;0;1
"098001";"Abbadia Cerreto";31;1;1;2
"098001";"Abbadia Cerreto";32;0;0;0
"098001";"Abbadia Cerreto";33;0;1;1
"098001";"Abbadia Cerreto";34;1;4;5
"098001";"Abbadia Cerreto";35;0;3;3
"098001";"Abbadia Cerreto";36;3;2;5
"098001";"Abbadia Cerreto";37;6;1;7
"098001";"Abbadia Cerreto";38;1;2;3
"098001";"Abbadia Cerreto";39;1;3;4
"098001";"Abbadia Cerreto";40;3;1;4
"098001";"Abbadia Cerreto";41;0;0;0
"098001";"Abbadia Cerreto";42;1;1;2
"098001";"Abbadia Cerreto";43;2;4;6
"098001";"Abbadia Cerreto";44;1;4;5
"098001";"Abbadia Cerreto";45;2;3;5
"098001";"Abbadia Cerreto";46;0;4;4
"098001";"Abbadia Cerreto";47;2;1;3
"098001";"Abbadia Cerreto";48;3;3;6
"098001";"Abbadia Cerreto";49;1;3;4
"098001";"Abbadia Cerreto";50;2;2;4
"098001";"Abbadia Cerreto";51;6;3;9
"098001";"Abbadia Cerreto";52;2;2;4
"098001";"Abbadia Cerreto";53;3;2;5
"098001";"Abbadia Cerreto";54;2;3;5
"098001";"Abbadia Cerreto";55;1;2;3
"098001";"Abbadia Cerreto";56;2;3;5
"098001";"Abbadia Cerreto";57;1;2;3
"098001";"Abbadia Cerreto";58;2;3;5
"098001";"Abbadia Cerreto";59;7;0;7
"098001";"Abbadia Cerreto";60;2;4;6
"098001";"Abbadia Cerreto";61;1;2;3
"098001";"Abbadia Cerreto";62;0;1;1
"098001";"Abbadia Cerreto";63;1;0;1
"098001";"Abbadia Cerreto";64;2;2;4
"098001";"Abbadia Cerreto";65;2;5;7
"098001";"Abbadia Cerreto";66;2;0;2
"098001";"Abbadia Cerreto";67;2;4;6
"098001";"Abbadia Cerreto";68;2;0;2
"098001";"Abbadia Cerreto";69;0;1;1
"098001";"Abbadia Cerreto";70;3;0;3
"098001";"Abbadia Cerreto";71;0;4;4
"098001";"Abbadia Cerreto";72;2;2;4
"098001";"Abbadia Cerreto";73;0;1;1
"098001";"Abbadia Cerreto";74;3;2;5
"098001";"Abbadia Cerreto";75;1;1;2
"098001";"Abbadia Cerreto";76;2;3;5
"098001";"Abbadia Cerreto";77;4;3;7
"098001";"Abbadia Cerreto";78;0;0;0
"098001";"Abbadia Cerreto";79;1;1;2
"098001";"Abbadia Cerreto";80;0;1;1
"098001";"Abbadia Cerreto";81;3;2;5
"098001";"Abbadia Cerreto";82;1;0;1
"098001";"Abbadia Cerreto";83;0;3;3
"098001";"Abbadia Cerreto";84;3;2;5
"098001";"Abbadia Cerreto";85;2;2;4
"098001";"Abbadia Cerreto";86;1;0;1
"098001";"Abbadia Cerreto";87;0;1;1
"098001";"Abbadia Cerreto";88;0;1;1
"098001";"Abbadia Cerreto";89;1;1;2
"098001";"Abbadia Cerreto";90;0;1;1
"098001";"Abbadia Cerreto";91;0;0;0
"098001";"Abbadia Cerreto";92;1;0;1
"098001";"Abbadia Cerreto";93;0;1;1
"098001";"Abbadia Cerreto";94;0;0;0
"098001";"Abbadia Cerreto";95;0;0;0
"098001";"Abbadia Cerreto";96;0;0;0
"098001";"Abbadia Cerreto";97;0;0;0
"098001";"Abbadia Cerreto";98;0;0;0
"098001";"Abbadia Cerreto";99;0;0;0
"098001";"Abbadia Cerreto";100;0;0;0
"098001";"Abbadia Cerreto";999;139;141;280
"098002";"Bertonico";0;2;1;3
"098002";"Bertonico";1;4;4;8
"098002";"Bertonico";2;1;5;6
"098002";"Bertonico";3;7;4;11
"098002";"Bertonico";4;2;3;5
"098002";"Bertonico";5;5;8;13
"098002";"Bertonico";6;5;2;7
"098002";"Bertonico";7;8;4;12
"098002";"Bertonico";8;3;9;12
"098002";"Bertonico";9;3;1;4
"098002";"Bertonico";10;4;6;10
"098002";"Bertonico";11;4;4;8
"098002";"Bertonico";12;3;9;12
"098002";"Bertonico";13;3;9;12
"098002";"Bertonico";14;7;3;10
"098002";"Bertonico";15;6;5;11
"098002";"Bertonico";16;8;4;12
"098002";"Bertonico";17;4;3;7
"098002";"Bertonico";18;9;2;11
"098002";"Bertonico";19;6;8;14
"098002";"Bertonico";20;4;8;12
"098002";"Bertonico";21;4;5;9
"098002";"Bertonico";22;4;2;6
"098002";"Bertonico";23;5;6;11
"098002";"Bertonico";24;8;10;18
"098002";"Bertonico";25;4;5;9
"098002";"Bertonico";26;9;5;14
"098002";"Bertonico";27;5;2;7
"098002";"Bertonico";28;7;6;13
"098002";"Bertonico";29;5;4;9
"098002";"Bertonico";30;10;5;15
"098002";"Bertonico";31;7;6;13
"098002";"Bertonico";32;5;3;8
"098002";"Bertonico";33;6;7;13
"098002";"Bertonico";34;5;2;7
"098002";"Bertonico";35;5;6;11
"098002";"Bertonico";36;8;8;16
"098002";"Bertonico";37;9;2;11
"098002";"Bertonico";38;10;6;16
"098002";"Bertonico";39;6;3;9
"098002";"Bertonico";40;10;7;17
"098002";"Bertonico";41;4;4;8
"098002";"Bertonico";42;7;6;13
"098002";"Bertonico";43;9;6;15
"098002";"Bertonico";44;6;5;11
"098002";"Bertonico";45;7;5;12
"098002";"Bertonico";46;13;5;18
"098002";"Bertonico";47;8;10;18
"098002";"Bertonico";48;6;7;13
"098002";"Bertonico";49;9;11;20
"098002";"Bertonico";50;10;10;20
"098002";"Bertonico";51;9;4;13
"098002";"Bertonico";52;12;5;17
"098002";"Bertonico";53;5;6;11
"098002";"Bertonico";54;8;8;16
"098002";"Bertonico";55;8;11;19
