ATS;ASST;CDC;INDIRIZZO STRUTTURA;NUMERO SERVIZI ATTIVI;% SERVIZI ATTIVI
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Giuditta Vimercate;Via Giuditta Brambilla, 11 - Vimercate (MB);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Brescia Nave;Via Brescia, 155 - Nave (BS);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Agoi Bormio;Via Agoi, 8 - Bormio (SO);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Raffaello Travagliato;Via Raffaello, 24 - Travagliato (BS);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Don Orione Milano;Via Don Orione, 2 - Milano (MI);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Amadini Tavernole Sul Mella;Via Amadini, 43 - Tavernole Sul Mella (BS);13;100%
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Monreale Milano;Via Monreale, 13 - Milano (MI);13;100%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Betelli Dalmine;Via Betelli, 2 - Dalmine (BG);13;100%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Maggiore Martinengo;Piazza Maggiore, 11 - Martinengo (BG);13;100%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Matteotti Treviglio;Via Matteotti, 4 - Treviglio (BG);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' S. Francesco Pioltello;Via S. Francesco, 16 - Pioltello (MI);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Pradelli Berbenno Di Valtellina;Via Pradelli, 215 - Berbenno Di Valtellina (SO);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Aldo Moro Olgiate Molgora;Via Aldo Moro, 8/10 - Olgiate Molgora (LC);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Mazzini Flero;Via Mazzini, 15 - Flero (BS);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Rugabella Milano;Via Rugabella, 4 - Milano (MI);13;100%
Ats Milano;Asst Nord Milano;Casa Di Comunita' Terenghi Cinisello Balsamo;Via Terenghi, 2 - Cinisello Balsamo (MI);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Padana Superiore Ospitaletto;Via Padana Superiore, 98 - Ospitaletto (BS);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Ospedale Calcinate;Piazzale Ospedale, 3 - Calcinate (BG);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Somvico Clusone;Via Somvico, 2 - Clusone (BG);13;100%
Ats Milano;Asst Nord Milano;Casa Di Comunita' Centurelli Bresso;Via Centurelli, 46 - Bresso (MI);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Statale Goitese Goito;Strada Statale Goitese, 313 - Goito (MN);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Polini Vilminore Di Scalve;Via Polini, 7 - Vilminore Di Scalve (BG);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Duca Brescia;Via Duca Degli Abruzzi, 13 - Brescia (BS);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Morelli Morbegno;Via Morelli, 1 - Morbegno (SO);13;100%
Ats Milano;Asst Nord Milano;Casa Di Comunita' Ginestra Cusano Milanino;Via Ginestra, 1 - Cusano Milanino (MI);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Quintini Di Vona Cassano D'Adda;Via Quintini Di Vona, 41 - Cassano D'Adda (MI);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Italia Campione D'Italia;Corso Italia, 10 - Campione D'Italia (CO);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Stelvio Busto Arsizio;Viale Stelvio, 3 - Busto Arsizio (VA);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Farini Milano;Via Farini, 9 - Milano (MI);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Cereria Chiavenna;Via Cereria, 4 - Chiavenna (SO);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Fratelli Kennedy Rezzato;Via Fratelli Kennedy, 115 - Rezzato (BS);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Bettini Quistello;Via Bettini, 1 - Quistello (MN);13;100%
Ats Val Padana;Asst Di Crema;Casa Di Comunita' Gramsci Crema;Via Gramsci, 13 - Crema (CR);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Amendola Segrate;Via Amendola, 3 - Segrate (MI);13;100%
Ats Bergamo;Asst Papa Giovanni Xxiii;Casa Di Comunita' Borgo Palazzo Bergamo;Via Borgo Palazzo, 130 - Bergamo (BG);13;100%
Ats Milano;Asst Gom Niguarda;Casa Di Comunita' Livigno (Ex Jenner) Milano;Via Livigno, 2/A - Milano (MI);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Marconi Seriate;Via Marconi, 38 - Seriate (BG);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Europa Ponte Di Legno;Piazzale Europa - Ponte Di Legno (BS);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Cernusco Sul Naviglio;Via Uboldo, 36 - Cernusco Sul Naviglio (MI);13;100%
Ats Bergamo;Asst Papa Giovanni Xxiii;Casa Di Comunita' Roma Villa D'Alme';Via Roma, 16 - Villa D'Almè (BG);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Fiume Saronno;Via Fiume, 12 - Saronno (VA);13;100%
Ats Bergamo;Asst Papa Giovanni Xxiii;Casa Di Comunita' Belotti Zogno;Piazza Belotti, 1 - Zogno (BG);13;100%
Ats Milano;Asst Nord Milano;Casa Di Comunita' Boccaccio Cologno Monzese;Via Boccaccio, 17 - Cologno Monzese (MI);13;100%
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Gola Milano;Via Gola, 22 - Milano (MI);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Umberto I Berzo Inferiore;Piazza Umberto I, 7 - Berzo Inferiore (BS);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Napoleona Como;Via Napoleona, 60 - Como (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Del Lazzaretto Bellagio;Via Del Lazzaretto, 12 - Bellagio (CO);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Buttafava Cassano Magnago;Via Buttafava, 15 - Cassano Magnago (VA);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Ceretti Laveno-Mombello;Via Ceretti, 8 - Laveno-Mombello (VA);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Donatore Di Sangue Magenta;Via Donatore Di Sangue, 50 - Magenta (MI);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Italia Macherio;Via Italia, 13 - Macherio (MB);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Antonio Ghislanzoni Lecco;Via Antonio Ghislanzoni, 9 - Lecco (LC);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Cardinal Dell'Acqua Sesto Calende;Largo Cardinal Dell'Acqua, 1 - Sesto Calende (VA);13;100%
Ats Val Padana;Asst Di Cremona;Casa Di Comunita' San Sebastiano Cremona;Via San Sebastiano, 14 - Cremona (CR);13;100%
