struttura,diversita,ECI
FONDAZIONE IRCCS CA' GRANDA OSPEDALE MAGGIORE POLICLINICO DI MILANO,63,10.366668789964875
OSPEDALE FILIPPO DEL PONTE DI VARESE,14,1.0711627941041795
OSPEDALE POLICLINICO SAN MATTEO DI PAVIA,59,1.0071185939274017
OSPEDALE PAPA GIOVANNI XXIII DI BERGAMO,63,0.986333071401445
PRESIDIO OSPEDALIERO GAETANO PINI,23,0.9181266315074156
PRESIDIO OSPEDALIERO SPEDALI CIVILI DI BRESCIA,54,0.8837389124350498
OSPEDALE MACEDONIO MELLONI DI MILANO,14,0.8109796896938511
OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI DI VARESE,55,0.7932150624796184
IRCCS OSPEDALE SAN RAFFAELE DI MILANO - GRUPPO SAN DONATO,64,0.768636208271068
OSPEDALE DEI BAMBINI VITTORE BUZZI DI MILANO,18,0.7489107627336894
OSPEDALE NIGUARDA DI MILANO,61,0.7006557397252038
OSPEDALE DEI BAMBINI DI BRESCIA,15,0.6844032151253069
OSPEDALE DI CREMONA,49,0.6398745322598718
OSPEDALE SANT'ANNA DI SAN FERMO DELLA BATTAGLIA,46,0.47065343555713013
OSPEDALE CIVILE DI LEGNANO,33,0.47061472201934523
FONDAZIONE IRCCS SAN GERARDO DEI TINTORI DI MONZA - ATS BRIANZA,55,0.45377124893004406
OSPEDALE FATEBENEFRATELLI E OFTALMICO DI MILANO,37,0.45167711384979237
OSPEDALE DI CIRCOLO DI BUSTO ARSIZIO,36,0.44041028722288567
OSPEDALE SAN PAOLO DI MILANO,44,0.4138034998402639
PRESIDIO OSPEDALIERO CTO,19,0.40805919391840356
ISTITUTO NAZIONALE DEI TUMORI,37,0.4056143350202824
CENTRO CARDIOLOGICO MONZINO DI MILANO,18,0.3918335106742204
IRCCS MULTIMEDICA,50,0.35344653628273226
IEO - ISTITUTO EUROPEO DI ONCOLOGIA DI MILANO,39,0.3486754264823134
OSPEDALE CARLO POMA DI MANTOVA,48,0.3283598284538649
OSPEDALE DI MANERBIO,34,0.3104922763872589
PRESIDIO OSPEDALIERO ALESSANDRO MANZONI DI LECCO,43,0.3056647039239011
IRCCS OSPEDALE GALEAZZI - SANT'AMBROGIO DI MILANO - GRUPPO SAN DONATO,36,0.29286044413073575
OSPEDALE DI SARONNO,33,0.20373616401012706
OSPEDALE VALDUCE DI COMO,35,0.20080433759747202
OSPEDALE LUIGI SACCO DI MILANO,43,0.19182936129262584
HUMANITAS RESEARCH HOSPITAL DI ROZZANO,55,0.18029689237203628
OSPEDALE BOLOGNINI DI SERIATE,30,0.16162588849051818
PRESIDIO OSPEDALIERO DI RHO,23,0.15992156727677587
OSPEDALE SAN GIUSEPPE MULTIMEDICA,47,0.13593782846523936
OSPEDALE MAGGIORE DI LODI,38,0.12814291179341544
OSPEDALE CITTÀ DI SESTO SAN GIOVANNI,36,0.12661430610239238
OSPEDALE TREVIGLIO - CARAVAGGIO,34,0.11873615590924284
OSPEDALE DI VIZZOLO PREDABISSI,29,0.1149500496519862
OSPEDALE DI SONDALO,33,0.10282915058146577
OSPEDALE SAN CARLO BORROMEO DI MILANO,38,0.09813941134210016
OSPEDALE DI CARATE BRIANZA,20,0.08256508681865224
OSPEDALE PIO XI DI DESIO,31,0.07553517001095092
FONDAZIONE IRCCS ISTITUTO NEUROLOGICO CARLO BESTA DI MILANO,8,0.0707648123350863
OSPEDALE MAGGIORE DI CREMA,32,0.06992446476786396
OSPEDALE DI VIMERCATE,36,0.06654662397436856
OSPEDALE DI SONDRIO,38,0.061645143942803134
OSPEDALE CADUTI BOLLATESI,14,0.043246115331030566
OSPEDALE DI GALLARATE,31,0.02524107910122335
OSPEDALE G. FORNAROLI DI MAGENTA,30,0.01329916842935758
OSPEDALE DI DESENZANO DEL GARDA,29,0.010988781486007718
AUXOLOGICO SAN LUCA DI MILANO,50,0.00406040060560812
PRESIDIO OSPEDALIERO SAN LEOPOLDO MANDIC DI MERATE,31,-0.0034232497466221245
OSPEDALE CIVILE DI VIGEVANO,29,-0.006049686782807522
HUMANITAS GAVAZZENI DI BERGAMO,47,-0.006959268509294845
PRESIDIO OSPEDALIERO DI GARBAGNATE MILANESE,33,-0.020452061378288994
IRCCS POLICLINICO SAN DONATO DI SAN DONATO MILANESE - GRUPPO SAN DONATO,43,-0.029776432519836717
OSPEDALE DI ERBA - LIFENET HEALTHCARE,29,-0.030432491701871817
OSPEDALE BASSINI DI CINISELLO BALSAMO,32,-0.03388640553625831
OSPEDALE CARLO ONDOLI DI ANGERA,14,-0.03796173326425307
OSPEDALE MORIGGIA PELASCINI DI GRAVEDONA - GRUPPO ITALCLINICHE,30,-0.04365171069755226
OSPEDALE CIVICO DI CODOGNO,12,-0.0440681351049592
OSPEDALE CIVILE DI VOGHERA,31,-0.05033942485531601
OSPEDALE DI ASOLA,20,-0.06464262780664824
OSPEDALE CIVILE DESTRA SECCHIA DI PIEVE DI CORIANO,25,-0.06477497868950882
OSPEDALE DI ESINE,24,-0.0691096113612178
OSPEDALE DI TRADATE,22,-0.06964310097720937
OSPEDALE SANT'ANTONIO ABATE DI CANTÙ,26,-0.09195956646363834
