specialita,PCI
CARDIOLOGIA PEDIATRICA,2.4111428496959255
DIALISI E TRAPIANTO PEDIATRICO,2.4111428496959255
CHIRURGIA DERMATOLOGICA E DERMATOLOGIA PEDIATRICA,2.4111428496959255
CHIRURGIA SENOLOGICA,2.4111428496959255
EMATOLOGIA,2.4111428496959255
GASTROENTEROLOGIA ED ENDOSCOPIA,2.4111428496959255
ODONTOSTOMATOLOGIA,2.4111428496959255
NEUROPSICHIATRIA DELL'INFANZIA,2.4111428496959255
MEDICINA GENERALE,2.4111428496959255
PMA,2.4111428496959255
RADIOLOGIA SENOLOGICA,2.4111428496959255
RADIOLOGIA PEDIATRICA,2.4111428496959255
PRONTO SOCCORSO OSTETRICO E GINECOLOGICO,2.4111428496959255
TERAPIA INTENSIVA PEDIATRICA,2.4111428496959255
ASTANTERIA - DEGENZA BREVE,0.20737890179850477
PENSIONANTI,0.11712364631371505
ONCOEMATOLOGIA,0.03845833528634562
UROLOGIA PEDIATRICA,0.0033510219955731955
CHIRURGIA PEDIATRICA,-0.015804726765382898
MEDICINA DEI TRAPIANTI,-0.174251499568048
TERAPIA INTENSIVA NEONATALE,-0.17445803596146742
PRONTO SOCCORSO GINECOLOGICO,-0.20462547874082881
ONCOEMATOLOGIA PEDIATRICA,-0.286474527755241
TOSSICOLOGIA,-0.28755441162551965
FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA,-0.28955751259162943
CHIRURGIA MAXILLO FACCIALE,-0.3063526311733544
NEUROCHIRURGIA,-0.31486213803969704
FARMACOLOGIA CLINICA,-0.31972229364812155
MEDICINA NUCLEARE,-0.3218020086099026
NEFROLOGIA PEDIATRICA,-0.32739344964283285
NEUROCHIRURGIA PEDIATRICA,-0.33145516981130724
MEDICINA DEL LAVORO,-0.33852793668141984
GRANDI USTIONI,-0.3411334638706817
CHIRURGIA TORACICA,-0.3464428030343924
PRONTO SOCCORSO ODONTOIATRICO,-0.35590693583800087
PRONTO SOCCORSO OFTALMICO,-0.3641160125489343
RADIOTERAPIA ONCOLOGICA,-0.37568037855471986
NEUROLOGIA D'URGENZA E STROKE UNIT,-0.3759748873919586
PRONTO SOCCORSO ORTOPEDICO,-0.37882274039726344
CHIRURGIA VERTEBRALE,-0.38106753687159145
CARDIOCHIRURGIA PEDIATRICA,-0.38334625649018716
PRONTO SOCCORSO PEDIATRICO,-0.3919446863665349
ELETTROFISIOLOGIA E EMODINAMICA,-0.4048782633215471
UNITÀ SPINALE,-0.4083452794910815
ANATOMIA PATOLOGICA,-0.41037048522680497
EMODIALISI,-0.41758827820273975
UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA,-0.4203713054266938
ODONTOIATRIA E STOMATOLOGIA,-0.4225896281136493
NEONATOLOGIA,-0.42657820724423023
TERAPIA INTENSIVA,-0.42716414892442567
SENOLOGIA,-0.4285328094795164
PRONTO SOCCORSO CARDIOLOGICO,-0.4325802054813569
EMATOLOGIA E IMMUNOEMATOLOGIA,-0.4335556263305737
CHIRURGIA VASCOLARE,-0.43792268691658043
DIETOLOGIA E NUTRIZIONE CLINICA,-0.4410565811480029
PEDIATRIA,-0.45485562673053365
NEFROLOGIA,-0.4563929409376643
MALATTIE INFETTIVE E TROPICALI,-0.4570538513266046
REUMATOLOGIA,-0.46050974964227326
NEUROPSICHIATRIA INFANTILE,-0.46747859751076937
MEDICINA SPORTIVA,-0.47291239723878864
OSTETRICIA,-0.47373848249003647
GERIATRIA,-0.474360149707793
RIABILITAZIONE ONCOLOGICA,-0.4823228728055706
IMMUNOLOGIA,-0.4824270712544659
RADIOTERAPIA,-0.4835142117309927
GENETICA,-0.4885159362343285
ONCOLOGIA,-0.4900566207615612
UROLOGIA E ANDROLOGIA,-0.4904645690642132
PRONTO SOCCORSO,-0.4925417754472455
CURE PALLIATIVE - HOSPICE,-0.4951633131553417
CHIRURGIA PLASTICA E MEDICINA ESTETICA,-0.4964971746288856
CARDIOCHIRURGIA,-0.49736966013965545
GINECOLOGIA,-0.4982155958701374
OTORINOLARINGOIATRIA,-0.4992880032618989
ENDOCRINOLOGIA E DIABETOLOGIA,-0.5004967552923192
DERMATOLOGIA,-0.5009606925798687
GASTROENTEROLOGIA,-0.5027225247057094
PNEUMOLOGIA,-0.5057207430568931
PSICHIATRIA E PSICOLOGIA,-0.5060273514466848
CARDIOLOGIA,-0.5075710709578822
NEUROLOGIA,-0.5099426568723608
OCULISTICA,-0.5108844016648341
CHIRURGIA GENERALE,-0.5127193449096791
MEDICINA INTERNA - GENERALE,-0.513538177728372
SERVIZI TERRITORIALI,-0.520445308751926
ALLERGOLOGIA,-0.5268907961307813
LUNGODEGENTI,-0.527513916712255
RADIOLOGIA E DIAGNOSTICA PER IMMAGINI,-0.5358981560661776
ANGIOLOGIA,-0.5389085911941984
ORTOPEDIA E TRAUMATOLOGIA,-0.5427147808207483
RIABILITAZIONE CARDIO-RESPIRATORIA,-0.5441569852454269
RIABILITAZIONE NEUROLOGICA,-0.5461395552708492
SERVIZI DOMICILIARI,-0.5490533651899421
ANALISI DI LABORATORIO,-0.5590007112906489
RIABILITAZIONE ORTOPEDICA,-0.5662225943230262
CHECK UP,-0.5822936937015302
