Ospedale1,Ospedale2,Lat1,Long1,Lat2,Long2,Similarity,Distanza
AUXOLOGICO CAPITANIO DI MILANO,AUXOLOGICO ARIOSTO DI MILANO,45.4553421,9.1905558,45.5404081,9.2360179,1.0,10.11
ICS MAUGERI LISSONE,ICS MAUGERI PAVIA,45.6201773,9.2383956,45.1893999,9.1503398,0.97,48.45
IRCCS MAUGERI CASTEL GOFFREDO,ICS MAUGERI LISSONE,45.3013083,10.4785441,45.6201773,9.2383956,0.941,103.13
IRCCS MAUGERI MONTESCANO,IRCCS MAUGERI CASTEL GOFFREDO,45.0325518,9.2818479,45.3013083,10.4785441,0.941,98.57
IRCCS MAUGERI MONTESCANO,IRCCS MAUGERI MILANO,45.0325518,9.2818479,45.4366643,9.2643822,0.941,45.01
IRCCS MAUGERI MONTESCANO,ICS MAUGERI LISSONE,45.0325518,9.2818479,45.6201773,9.2383956,0.939,65.5
IRCCS MAUGERI MILANO,IRCCS MAUGERI TRADATE,45.4366643,9.2643822,45.7181672,8.9100975,0.917,41.76
IRCCS MAUGERI CASTEL GOFFREDO,ICS MAUGERI PAVIA,45.3013083,10.4785441,45.1893999,9.1503398,0.914,104.84
IRCCS MAUGERI MONTESCANO,IRCCS MAUGERI TRADATE,45.0325518,9.2818479,45.7181672,8.9100975,0.914,81.67
IRCCS MAUGERI MONTESCANO,ICS MAUGERI PAVIA,45.0325518,9.2818479,45.1893999,9.1503398,0.912,20.29
IRCCS MAUGERI CASTEL GOFFREDO,IRCCS MAUGERI MILANO,45.3013083,10.4785441,45.4366643,9.2643822,0.889,96.14
ICS MAUGERI LISSONE,IRCCS MAUGERI MILANO,45.6201773,9.2383956,45.4366643,9.2643822,0.886,20.53
IRCCS MAUGERI CASTEL GOFFREDO,IRCCS MAUGERI TRADATE,45.3013083,10.4785441,45.7181672,8.9100975,0.865,130.86
AUXOLOGICO ARIOSTO DI MILANO,AUXOLOGICO SAN LUCA DI MILANO,45.5404081,9.2360179,45.4720181,9.1450895,0.863,10.41
AUXOLOGICO CAPITANIO DI MILANO,AUXOLOGICO SAN LUCA DI MILANO,45.4553421,9.1905558,45.4720181,9.1450895,0.863,4.01
IRCCS MAUGERI MILANO,ICS MAUGERI PAVIA,45.4366643,9.2643822,45.1893999,9.1503398,0.861,28.94
ICS MAUGERI LISSONE,IRCCS MAUGERI TRADATE,45.6201773,9.2383956,45.7181672,8.9100975,0.861,27.77
OSPEDALE DI DESENZANO DEL GARDA,OSPEDALE BOLOGNINI DI SERIATE,45.4702891,10.5205607,45.6832356,9.7181097,0.844,66.87
ICS MAUGERI PAVIA,IRCCS MAUGERI TRADATE,45.1893999,9.1503398,45.7181672,8.9100975,0.838,61.78
OSPEDALE DI CREMONA,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI DI VARESE,45.1316646,10.0521668,45.8078076,8.8375231,0.825,121.06
OSPEDALE CIVILE DI VOGHERA,OSPEDALE DI GALLARATE,44.9947405,9.0145707,45.6566835,8.7919663,0.824,75.72
OSPEDALE PAPA GIOVANNI XXIII DI BERGAMO,OSPEDALE POLICLINICO SAN MATTEO DI PAVIA,45.6868302,9.6393079,45.1961345,9.1489552,0.821,66.71
OSPEDALE CIVILE DI VIGEVANO,OSPEDALE CIVILE DI VOGHERA,45.3223336,8.8702814,44.9947405,9.0145707,0.818,38.19
OSPEDALE PAPA GIOVANNI XXIII DI BERGAMO,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI DI VARESE,45.6868302,9.6393079,45.8078076,8.8375231,0.815,63.72
OSPEDALE DI VIMERCATE,OSPEDALE CIVILE DI VOGHERA,45.6084744,9.3557814,44.9947405,9.0145707,0.811,73.36
OSPEDALE DI VIMERCATE,OSPEDALE MAGGIORE DI LODI,45.6084744,9.3557814,45.2746433,9.4425074,0.805,37.77
OSPEDALE TREVIGLIO - CARAVAGGIO,OSPEDALE DI SONDRIO,45.509974,9.6113788,46.1786137,9.9537668,0.8,79.03
IRCCS MULTIMEDICA,OSPEDALE SAN GIUSEPPE MULTIMEDICA,45.5366578,9.2184097,45.4631277,9.1714179,0.796,8.97
OSPEDALE DI VIMERCATE,OSPEDALE TREVIGLIO - CARAVAGGIO,45.6084744,9.3557814,45.509974,9.6113788,0.795,22.74
OSPEDALE MAGGIORE DI CREMA,OSPEDALE MAGGIORE DI LODI,45.3545923,9.6810901,45.2746433,9.4425074,0.795,20.69
OSPEDALE DI GALLARATE,OSPEDALE G. FORNAROLI DI MAGENTA,45.6566835,8.7919663,45.4711284,8.8936029,0.794,22.12
AZIENDA OSPEDALIERA MELLINO MELLINI DI CHIARI,OSPEDALE DI GALLARATE,45.5380481,9.9342567,45.6566835,8.7919663,0.794,89.95
OSPEDALE CIVILE DI VOGHERA,OSPEDALE G. FORNAROLI DI MAGENTA,44.9947405,9.0145707,45.4711284,8.8936029,0.794,53.87
IRCCS MAUGERI CASTEL GOFFREDO,IRCCS MAUGERI LUMEZZANE,45.3013083,10.4785441,45.6513888,10.2549352,0.794,42.7
OSPEDALE DI VIZZOLO PREDABISSI,OSPEDALE MAGGIORE DI CREMA,45.3582982,9.3407637,45.3545923,9.6810901,0.794,26.62
HUMANITAS GAVAZZENI DI BERGAMO,HUMANITAS RESEARCH HOSPITAL DI ROZZANO,45.6888633,9.6787228,45.3724816,9.1676657,0.789,53.19
OSPEDALE G. FORNAROLI DI MAGENTA,OSPEDALE MAGGIORE DI LODI,45.4711284,8.8936029,45.2746433,9.4425074,0.789,48.18
ICS MAUGERI LISSONE,IRCCS MAUGERI LUMEZZANE,45.6201773,9.2383956,45.6513888,10.2549352,0.788,79.2
IRCCS MAUGERI MONTESCANO,IRCCS MAUGERI LUMEZZANE,45.0325518,9.2818479,45.6513888,10.2549352,0.788,102.68
PRESIDIO OSPEDALIERO SPEDALI CIVILI DI BRESCIA,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI DI VARESE,45.5592015,10.2304347,45.8078076,8.8375231,0.787,111.8
FONDAZIONE IRCCS SAN GERARDO DEI TINTORI DI MONZA - ATS BRIANZA,OSPEDALE NIGUARDA DI MILANO,45.602275,9.2604939,45.5106614,9.1880256,0.785,11.66
OSPEDALE SANT'ANNA DI SAN FERMO DELLA BATTAGLIA,PRESIDIO OSPEDALIERO ALESSANDRO MANZONI DI LECCO,45.802113,9.0396312,45.8523467,9.4133667,0.78,29.53
OSPEDALE CIVILE DI VOGHERA,PRESIDIO OSPEDALIERO DI GARBAGNATE MILANESE,44.9947405,9.0145707,45.5831666,9.094637,0.778,65.8
OSPEDALE CARLO POMA DI MANTOVA,FONDAZIONE IRCCS SAN GERARDO DEI TINTORI DI MONZA - ATS BRIANZA,45.1443094,10.7738404,45.602275,9.2604939,0.776,128.86
